batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7501,0.7312,0.7276,704.55,0.0031,1,320,225456,320,0.7312,2364.55
1,Few_Shot_with_Reasoning,1,0.8119,0.725,0.7056,1167.08,0.0031,1,320,373464,320,0.725,28407.72
2,Enhanced_Zero_Shot,1,0.7779,0.75,0.7478,484.41,0.0063,1,160,155010,320,0.75,4576.27
2,Few_Shot_with_Reasoning,1,0.7884,0.7031,0.6794,703.31,0.0,0,160,225058,320,0.7031,2105.94
4,Enhanced_Zero_Shot,1,0.7648,0.725,0.7143,301.15,0.0,0,80,96368,320,0.725,921.16
4,Few_Shot_with_Reasoning,1,0.7926,0.7,0.6742,439.35,0.0,0,80,140592,320,0.7,1276.23
8,Enhanced_Zero_Shot,1,0.7766,0.7281,0.7157,209.53,0.0,0,40,67050,320,0.7281,796.74
8,Few_Shot_with_Reasoning,1,0.8113,0.6969,0.6662,293.28,0.0,0,40,93850,320,0.6969,816.49
16,Enhanced_Zero_Shot,1,0.7743,0.7188,0.7038,164.12,0.0,0,20,52519,320,0.7188,396.96
16,Few_Shot_with_Reasoning,1,0.803,0.675,0.6366,226.63,0.0,0,20,72522,320,0.675,565.12
32,Enhanced_Zero_Shot,1,0.7743,0.7188,0.7038,134.95,0.0,0,10,43184,320,0.7188,305.23
32,Few_Shot_with_Reasoning,1,0.8014,0.6906,0.6593,145.47,0.0,0,10,46550,320,0.6906,355.53
64,Enhanced_Zero_Shot,1,0.775,0.7063,0.6867,107.26,0.0,0,5,34323,320,0.7063,209.07
64,Few_Shot_with_Reasoning,1,0.7731,0.7031,0.6828,119.48,0.0,0,5,38233,320,0.7031,245.1
