Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7276,,0.7501,0.7312,704.55,0.0031,0.7312,2364.55
1,Few_Shot_with_Reasoning,0.7056,,0.8119,0.725,1167.08,0.0031,0.725,28407.72
2,Enhanced_Zero_Shot,0.7478,,0.7779,0.75,484.41,0.0063,0.75,4576.27
2,Few_Shot_with_Reasoning,0.6794,,0.7884,0.7031,703.31,0.0,0.7031,2105.94
4,Enhanced_Zero_Shot,0.7143,,0.7648,0.725,301.15,0.0,0.725,921.16
4,Few_Shot_with_Reasoning,0.6742,,0.7926,0.7,439.35,0.0,0.7,1276.23
8,Enhanced_Zero_Shot,0.7157,,0.7766,0.7281,209.53,0.0,0.7281,796.74
8,Few_Shot_with_Reasoning,0.6662,,0.8113,0.6969,293.28,0.0,0.6969,816.49
16,Enhanced_Zero_Shot,0.7038,,0.7743,0.7188,164.12,0.0,0.7188,396.96
16,Few_Shot_with_Reasoning,0.6366,,0.803,0.675,226.63,0.0,0.675,565.12
32,Enhanced_Zero_Shot,0.7038,,0.7743,0.7188,134.95,0.0,0.7188,305.23
32,Few_Shot_with_Reasoning,0.6593,,0.8014,0.6906,145.47,0.0,0.6906,355.53
64,Enhanced_Zero_Shot,0.6867,,0.775,0.7063,107.26,0.0,0.7063,209.07
64,Few_Shot_with_Reasoning,0.6828,,0.7731,0.7031,119.48,0.0,0.7031,245.1
