batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8418,0.8063,0.8124,797.46,0.0187,6,320,255188,320,0.8063,7436.1
1,Few_Shot_with_Reasoning,1,0.8537,0.8313,0.8347,1404.98,0.0094,3,320,449595,320,0.8313,11657.11
2,Enhanced_Zero_Shot,1,0.8406,0.8156,0.8214,528.32,0.0187,3,160,169063,320,0.8156,4577.38
2,Few_Shot_with_Reasoning,1,0.8644,0.8281,0.8393,857.58,0.0312,5,160,274425,320,0.8281,6969.74
4,Enhanced_Zero_Shot,1,0.8359,0.8313,0.8296,376.46,0.0,0,80,120468,320,0.8313,3206.59
4,Few_Shot_with_Reasoning,1,0.8562,0.8438,0.8428,624.71,0.0,0,80,199907,320,0.8438,5895.22
8,Enhanced_Zero_Shot,1,0.8378,0.825,0.8239,278.85,0.0,0,40,89232,320,0.825,2724.52
8,Few_Shot_with_Reasoning,1,0.8484,0.8406,0.84,439.84,0.0,0,40,140749,320,0.8406,4260.83
16,Enhanced_Zero_Shot,1,0.8319,0.8187,0.8188,222.97,0.0,0,20,71351,320,0.8187,2167.26
16,Few_Shot_with_Reasoning,1,0.8299,0.825,0.8233,285.93,0.0,0,20,91496,320,0.825,2792.09
32,Enhanced_Zero_Shot,1,0.8511,0.8469,0.8462,155.04,0.0,0,10,49613,320,0.8469,1303.35
32,Few_Shot_with_Reasoning,1,0.8458,0.8438,0.8426,206.25,0.0,0,10,66000,320,0.8438,1790.12
64,Enhanced_Zero_Shot,1,0.8492,0.8406,0.8405,124.52,0.0,0,5,39846,320,0.8406,977.71
64,Few_Shot_with_Reasoning,1,0.8429,0.8281,0.8272,145.55,0.0,0,5,46576,320,0.8281,1256.39
