batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7581,0.7281,0.7287,791.55,0.0,0,320,253296,320,0.7281,3435.09
1,Few_Shot_with_Reasoning,1,0.8123,0.7062,0.7153,1334.96,0.0063,2,320,427187,320,0.7063,5382.1
2,Enhanced_Zero_Shot,1,0.7485,0.7188,0.7218,509.33,0.0,0,160,162986,320,0.7188,4662.08
2,Few_Shot_with_Reasoning,1,0.7984,0.7,0.7083,757.02,0.0,0,160,242247,320,0.7,2872.42
4,Enhanced_Zero_Shot,1,0.759,0.7094,0.7111,311.71,0.0,0,80,99747,320,0.7094,1059.95
4,Few_Shot_with_Reasoning,1,0.8169,0.7031,0.7123,492.1,0.0,0,80,157471,320,0.7031,2849.42
8,Enhanced_Zero_Shot,1,0.7851,0.725,0.7314,231.41,0.0,0,40,74051,320,0.725,2054.95
8,Few_Shot_with_Reasoning,1,0.8245,0.7063,0.7109,336.81,0.0,0,40,107779,320,0.7063,2819.93
16,Enhanced_Zero_Shot,1,0.7882,0.7188,0.7201,173.31,0.0,0,20,55458,320,0.7188,1431.88
16,Few_Shot_with_Reasoning,1,0.8053,0.6937,0.6947,231.87,0.0,0,20,74197,320,0.6937,1675.19
32,Enhanced_Zero_Shot,1,0.7797,0.7156,0.7189,134.18,0.0,0,10,42938,320,0.7156,342.33
32,Few_Shot_with_Reasoning,1,0.794,0.6812,0.6851,163.52,0.0,0,10,52327,320,0.6813,452.0
64,Enhanced_Zero_Shot,1,0.7821,0.7156,0.7191,111.26,0.0,0,5,35602,320,0.7156,248.5
64,Few_Shot_with_Reasoning,1,0.814,0.7031,0.7041,128.39,0.0,0,5,41084,320,0.7031,292.9
