Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7287,,0.7581,0.7281,791.55,0.0,0.7281,3435.09
1,Few_Shot_with_Reasoning,0.7153,,0.8123,0.7062,1334.96,0.0063,0.7063,5382.1
2,Enhanced_Zero_Shot,0.7218,,0.7485,0.7188,509.33,0.0,0.7188,4662.08
2,Few_Shot_with_Reasoning,0.7083,,0.7984,0.7,757.02,0.0,0.7,2872.42
4,Enhanced_Zero_Shot,0.7111,,0.759,0.7094,311.71,0.0,0.7094,1059.95
4,Few_Shot_with_Reasoning,0.7123,,0.8169,0.7031,492.1,0.0,0.7031,2849.42
8,Enhanced_Zero_Shot,0.7314,,0.7851,0.725,231.41,0.0,0.725,2054.95
8,Few_Shot_with_Reasoning,0.7109,,0.8245,0.7063,336.81,0.0,0.7063,2819.93
16,Enhanced_Zero_Shot,0.7201,,0.7882,0.7188,173.31,0.0,0.7188,1431.88
16,Few_Shot_with_Reasoning,0.6947,,0.8053,0.6937,231.87,0.0,0.6937,1675.19
32,Enhanced_Zero_Shot,0.7189,,0.7797,0.7156,134.18,0.0,0.7156,342.33
32,Few_Shot_with_Reasoning,0.6851,,0.794,0.6812,163.52,0.0,0.6813,452.0
64,Enhanced_Zero_Shot,0.7191,,0.7821,0.7156,111.26,0.0,0.7156,248.5
64,Few_Shot_with_Reasoning,0.7041,,0.814,0.7031,128.39,0.0,0.7031,292.9
