batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7239,0.7125,0.7113,835.53,0.0,0,320,267371,320,0.7125,3089.45
1,Few_Shot_with_Reasoning,1,0.8261,0.7125,0.7328,1358.47,0.0063,2,320,434711,320,0.7125,4055.44
2,Enhanced_Zero_Shot,1,0.7484,0.7219,0.7261,478.78,0.0,0,160,153211,320,0.7219,1760.3
2,Few_Shot_with_Reasoning,1,0.8005,0.6906,0.7095,834.71,0.0063,1,160,267108,320,0.6906,6765.13
4,Enhanced_Zero_Shot,1,0.7589,0.7,0.7133,332.36,0.025,2,80,106354,320,0.7,3208.88
4,Few_Shot_with_Reasoning,1,0.821,0.7125,0.7291,520.94,0.0,0,80,166700,320,0.7125,4367.99
8,Enhanced_Zero_Shot,1,0.7719,0.7219,0.7297,238.2,0.0,0,40,76225,320,0.7219,2228.51
8,Few_Shot_with_Reasoning,1,0.8219,0.6969,0.7151,347.21,0.0,0,40,111106,320,0.6969,2908.47
16,Enhanced_Zero_Shot,1,0.8062,0.7406,0.7513,178.68,0.0,0,20,57179,320,0.7406,1549.18
16,Few_Shot_with_Reasoning,1,0.8146,0.7063,0.7223,249.53,0.0,0,20,79849,320,0.7063,2220.95
32,Enhanced_Zero_Shot,1,0.8163,0.7188,0.7336,145.41,0.0,0,10,46530,320,0.7188,1431.32
32,Few_Shot_with_Reasoning,1,0.8132,0.7156,0.7306,179.76,0.0,0,10,57522,320,0.7156,1676.85
64,Enhanced_Zero_Shot,1,0.793,0.7125,0.7267,117.62,0.0,0,5,37640,320,0.7125,985.29
64,Few_Shot_with_Reasoning,1,0.8139,0.6844,0.701,131.86,0.0,0,5,42194,320,0.6844,1014.3
