batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8736,0.849,0.8509,727.6,0.0052,2,384,279397,384,0.849,20621.07
1,Few_Shot_with_Reasoning,1,0.8773,0.8542,0.8562,1252.29,0.0078,3,384,480879,384,0.8542,26090.43
2,Enhanced_Zero_Shot,1,0.8707,0.8594,0.8582,478.43,0.0,0,192,183718,384,0.8594,11604.78
2,Few_Shot_with_Reasoning,1,0.8771,0.8646,0.8637,806.15,0.0,0,192,309560,384,0.8646,21110.2
4,Enhanced_Zero_Shot,1,0.8747,0.862,0.8619,384.83,0.0,0,96,147775,384,0.862,4268.05
4,Few_Shot_with_Reasoning,1,0.8939,0.8594,0.8684,553.99,0.0208,2,96,212733,384,0.8594,5898.31
8,Enhanced_Zero_Shot,1,0.8851,0.8776,0.8768,272.46,0.0,0,48,104626,384,0.8776,3026.1
8,Few_Shot_with_Reasoning,1,0.892,0.8802,0.8787,405.6,0.0,0,48,155749,384,0.8802,4341.73
16,Enhanced_Zero_Shot,1,0.8831,0.8802,0.8796,218.43,0.0,0,24,83878,384,0.8802,1924.9
16,Few_Shot_with_Reasoning,1,0.89,0.8854,0.8844,286.21,0.0,0,24,109906,384,0.8854,3033.09
32,Enhanced_Zero_Shot,1,0.8745,0.8698,0.8688,157.81,0.0,0,12,60599,384,0.8698,1169.72
32,Few_Shot_with_Reasoning,1,0.8919,0.888,0.8871,198.61,0.0,0,12,76265,384,0.888,1832.07
64,Enhanced_Zero_Shot,1,0.8812,0.8776,0.8767,127.63,0.0,0,6,49009,384,0.8776,1043.18
64,Few_Shot_with_Reasoning,1,0.8863,0.8802,0.8796,136.85,0.0,0,6,52549,384,0.8802,1174.2
