batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.715,0.6823,0.6933,806.64,0.0182,7,384,309748,384,0.6823,8805.59
1,Few_Shot_with_Reasoning,1,0.8045,0.6589,0.6644,1188.84,0.026,10,384,456516,384,0.6589,11787.74
2,Enhanced_Zero_Shot,1,0.75,0.7188,0.7209,449.61,0.0,0,192,172650,384,0.7188,10002.49
2,Few_Shot_with_Reasoning,1,0.8129,0.6797,0.6782,734.18,0.0,0,192,281925,384,0.6797,7864.88
4,Enhanced_Zero_Shot,1,0.7734,0.7057,0.71,303.19,0.0,0,96,116424,384,0.7057,7214.38
4,Few_Shot_with_Reasoning,1,0.8006,0.6693,0.6644,458.2,0.0,0,96,175947,384,0.6693,4685.31
8,Enhanced_Zero_Shot,1,0.7743,0.6927,0.6954,228.75,0.0,0,48,87839,384,0.6927,784.16
8,Few_Shot_with_Reasoning,1,0.8152,0.6771,0.675,316.41,0.0,0,48,121502,384,0.6771,1038.77
16,Enhanced_Zero_Shot,1,0.7961,0.6875,0.6887,173.49,0.0,0,24,66621,384,0.6875,564.65
16,Few_Shot_with_Reasoning,1,0.7901,0.6615,0.6588,236.38,0.0,0,24,90769,384,0.6615,789.01
32,Enhanced_Zero_Shot,1,0.7942,0.6953,0.6962,130.73,0.0,0,12,50202,384,0.6953,398.04
32,Few_Shot_with_Reasoning,1,0.8051,0.6823,0.6797,157.51,0.0,0,12,60485,384,0.6823,488.57
64,Enhanced_Zero_Shot,1,0.7676,0.6771,0.6784,115.94,0.0,0,6,44520,384,0.6771,1082.89
64,Few_Shot_with_Reasoning,1,0.8054,0.6562,0.6514,134.36,0.0,0,6,51595,384,0.6562,1218.54
