batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.9501,0.95,0.95,230.78,0.0,0,320,73849,320,0.95,820.51
1,Few_Shot_with_Reasoning,1,0.9444,0.9438,0.9437,370.96,0.0,0,320,118706,320,0.9437,908.28
2,Enhanced_Zero_Shot,1,0.9348,0.9344,0.9344,140.29,0.0,0,160,44893,320,0.9344,330.92
2,Few_Shot_with_Reasoning,1,0.944,0.9438,0.9437,232.47,0.0,0,160,74389,320,0.9437,651.19
4,Enhanced_Zero_Shot,1,0.944,0.9438,0.9437,95.47,0.0,0,80,30551,320,0.9437,295.87
4,Few_Shot_with_Reasoning,1,0.9289,0.9281,0.9281,163.94,0.0,0,80,52461,320,0.9281,625.47
8,Enhanced_Zero_Shot,1,0.947,0.9469,0.9469,73.8,0.0,0,40,23615,320,0.9469,240.75
8,Few_Shot_with_Reasoning,1,0.9319,0.9312,0.9312,123.84,0.0,0,40,39629,320,0.9313,1098.06
16,Enhanced_Zero_Shot,1,0.9438,0.9437,0.9437,63.11,0.0,0,20,20195,320,0.9437,203.9
16,Few_Shot_with_Reasoning,1,0.9415,0.9406,0.9406,97.98,0.0,0,20,31354,320,0.9406,464.21
32,Enhanced_Zero_Shot,1,0.9386,0.9375,0.9375,57.8,0.0,0,10,18497,320,0.9375,343.99
32,Few_Shot_with_Reasoning,1,0.9261,0.925,0.925,83.73,0.0,0,10,26795,320,0.925,471.64
64,Enhanced_Zero_Shot,1,0.9533,0.9531,0.9531,55.09,0.0,0,5,17630,320,0.9531,200.97
64,Few_Shot_with_Reasoning,1,0.9506,0.95,0.95,67.67,0.0,0,5,21656,320,0.95,288.62
