batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.796,0.7344,0.7198,229.93,0.0,0,320,73577,320,0.7344,965.4
1,Few_Shot_with_Reasoning,1,0.8032,0.7094,0.685,370.87,0.0,0,320,118679,320,0.7094,927.13
2,Enhanced_Zero_Shot,1,0.7723,0.7156,0.7,138.64,0.0,0,160,44365,320,0.7156,1176.5
2,Few_Shot_with_Reasoning,1,0.8068,0.7031,0.6757,229.04,0.0,0,160,73293,320,0.7031,1063.93
4,Enhanced_Zero_Shot,1,0.7851,0.7156,0.6972,94.55,0.0,0,80,30257,320,0.7156,433.86
4,Few_Shot_with_Reasoning,1,0.8027,0.6937,0.6635,150.02,0.0,0,80,48006,320,0.6937,447.21
8,Enhanced_Zero_Shot,1,0.7957,0.7063,0.6822,73.18,0.0,0,40,23417,320,0.7063,177.47
8,Few_Shot_with_Reasoning,1,0.8001,0.6875,0.6552,111.87,0.0,0,40,35799,320,0.6875,398.89
16,Enhanced_Zero_Shot,1,0.7926,0.7,0.6742,62.49,0.0,0,20,19997,320,0.7,168.1
16,Few_Shot_with_Reasoning,1,0.8027,0.6937,0.6635,91.83,0.0,0,20,29385,320,0.6937,367.75
32,Enhanced_Zero_Shot,1,0.7959,0.6938,0.6648,57.22,0.0,0,10,18311,320,0.6937,236.16
32,Few_Shot_with_Reasoning,1,0.8001,0.6875,0.6552,78.14,0.0,0,10,25006,320,0.6875,489.96
64,Enhanced_Zero_Shot,1,0.7988,0.6844,0.651,54.51,0.0,0,5,17444,320,0.6844,159.23
64,Few_Shot_with_Reasoning,1,0.7935,0.6719,0.634,67.0,0.0,0,5,21439,320,0.6719,425.71
