batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8742,0.8719,0.8713,238.49,0.0,0,320,76316,320,0.8719,640.21
1,Few_Shot_with_Reasoning,1,0.8688,0.8656,0.8641,476.53,0.0,0,320,152491,320,0.8656,742.09
2,Enhanced_Zero_Shot,1,0.8442,0.8406,0.8401,144.74,0.0,0,160,46316,320,0.8406,343.23
2,Few_Shot_with_Reasoning,1,0.86,0.8562,0.8532,287.59,0.0,0,160,92029,320,0.8562,621.7
4,Enhanced_Zero_Shot,1,0.8346,0.8344,0.834,97.84,0.0,0,80,31308,320,0.8344,210.8
4,Few_Shot_with_Reasoning,1,0.8388,0.8344,0.831,186.28,0.0,0,80,59610,320,0.8344,422.71
8,Enhanced_Zero_Shot,1,0.8393,0.8375,0.8371,74.16,0.0,0,40,23732,320,0.8375,149.7
8,Few_Shot_with_Reasoning,1,0.8343,0.8281,0.8269,133.17,0.0,0,40,42615,320,0.8281,334.26
16,Enhanced_Zero_Shot,1,0.8449,0.8438,0.8432,62.98,0.0,0,20,20152,320,0.8438,164.96
16,Few_Shot_with_Reasoning,1,0.8388,0.8375,0.8361,104.78,0.0,0,20,33531,320,0.8375,384.7
32,Enhanced_Zero_Shot,1,0.858,0.8562,0.8556,57.38,0.0,0,10,18362,320,0.8562,131.57
32,Few_Shot_with_Reasoning,1,0.8574,0.8469,0.8469,85.21,0.0,0,10,27268,320,0.8469,239.64
64,Enhanced_Zero_Shot,1,0.8522,0.8438,0.8429,54.58,0.0,0,5,17467,320,0.8438,152.39
64,Few_Shot_with_Reasoning,1,0.8444,0.8344,0.8315,64.76,0.0,0,5,20724,320,0.8344,226.67
