Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.8713,,0.8742,0.8719,238.49,0.0,0.8719,640.21
1,Few_Shot_with_Reasoning,0.8641,,0.8688,0.8656,476.53,0.0,0.8656,742.09
2,Enhanced_Zero_Shot,0.8401,,0.8442,0.8406,144.74,0.0,0.8406,343.23
2,Few_Shot_with_Reasoning,0.8532,,0.86,0.8562,287.59,0.0,0.8562,621.7
4,Enhanced_Zero_Shot,0.834,,0.8346,0.8344,97.84,0.0,0.8344,210.8
4,Few_Shot_with_Reasoning,0.831,,0.8388,0.8344,186.28,0.0,0.8344,422.71
8,Enhanced_Zero_Shot,0.8371,,0.8393,0.8375,74.16,0.0,0.8375,149.7
8,Few_Shot_with_Reasoning,0.8269,,0.8343,0.8281,133.17,0.0,0.8281,334.26
16,Enhanced_Zero_Shot,0.8432,,0.8449,0.8438,62.98,0.0,0.8438,164.96
16,Few_Shot_with_Reasoning,0.8361,,0.8388,0.8375,104.78,0.0,0.8375,384.7
32,Enhanced_Zero_Shot,0.8556,,0.858,0.8562,57.38,0.0,0.8562,131.57
32,Few_Shot_with_Reasoning,0.8469,,0.8574,0.8469,85.21,0.0,0.8469,239.64
64,Enhanced_Zero_Shot,0.8429,,0.8522,0.8438,54.58,0.0,0.8438,152.39
64,Few_Shot_with_Reasoning,0.8315,,0.8444,0.8344,64.76,0.0,0.8344,226.67
