batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.773,0.7188,0.7221,238.59,0.0,0,320,76350,320,0.7188,589.72
1,Few_Shot_with_Reasoning,1,0.8106,0.7188,0.7223,477.46,0.0,0,320,152786,320,0.7188,654.54
2,Enhanced_Zero_Shot,1,0.7717,0.7063,0.7129,144.99,0.0,0,160,46398,320,0.7063,329.72
2,Few_Shot_with_Reasoning,1,0.7907,0.6906,0.6955,283.18,0.0,0,160,90619,320,0.6906,545.29
4,Enhanced_Zero_Shot,1,0.776,0.7125,0.7165,98.14,0.0,0,80,31406,320,0.7125,198.58
4,Few_Shot_with_Reasoning,1,0.7908,0.6813,0.6854,179.79,0.0,0,80,57534,320,0.6813,434.54
8,Enhanced_Zero_Shot,1,0.7829,0.7188,0.723,74.47,0.0,0,40,23830,320,0.7188,149.13
8,Few_Shot_with_Reasoning,1,0.7942,0.6969,0.7046,126.48,0.0,0,40,40474,320,0.6969,335.02
16,Enhanced_Zero_Shot,1,0.7851,0.7125,0.7152,63.28,0.0,0,20,20250,320,0.7125,194.86
16,Few_Shot_with_Reasoning,1,0.8102,0.7063,0.7094,100.16,0.0,0,20,32050,320,0.7063,306.25
32,Enhanced_Zero_Shot,1,0.8032,0.7094,0.7137,57.69,0.0,0,10,18460,320,0.7094,118.07
32,Few_Shot_with_Reasoning,1,0.7972,0.7,0.7054,77.27,0.0,0,10,24726,320,0.7,199.09
64,Enhanced_Zero_Shot,1,0.8057,0.7031,0.7095,54.89,0.0,0,5,17565,320,0.7031,114.28
64,Few_Shot_with_Reasoning,1,0.8177,0.6937,0.6933,63.58,0.0,0,5,20347,320,0.6937,156.66
