batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.76,0.7188,0.7273,242.12,0.0,0,320,77478,320,0.7188,480.25
1,Few_Shot_with_Reasoning,1,0.8131,0.7188,0.7307,529.85,0.0,0,320,169551,320,0.7188,653.31
2,Enhanced_Zero_Shot,1,0.7709,0.7188,0.7294,146.17,0.0,0,160,46774,320,0.7188,292.03
2,Few_Shot_with_Reasoning,1,0.7874,0.6813,0.695,309.98,0.0,0,160,99195,320,0.6813,738.2
4,Enhanced_Zero_Shot,1,0.7895,0.7375,0.7482,98.72,0.0,0,80,31590,320,0.7375,207.62
4,Few_Shot_with_Reasoning,1,0.8082,0.7031,0.7197,193.77,0.0,0,80,62006,320,0.7031,419.42
8,Enhanced_Zero_Shot,1,0.7985,0.7312,0.7449,74.54,0.0,0,40,23854,320,0.7312,156.92
8,Few_Shot_with_Reasoning,1,0.8206,0.7125,0.7273,133.66,0.0,0,40,42772,320,0.7125,405.41
16,Enhanced_Zero_Shot,1,0.7994,0.7219,0.7333,63.11,0.0,0,20,20194,320,0.7219,142.74
16,Few_Shot_with_Reasoning,1,0.8252,0.7063,0.7224,102.09,0.0,0,20,32669,320,0.7063,375.08
32,Enhanced_Zero_Shot,1,0.8,0.7156,0.7321,57.39,0.0,0,10,18364,320,0.7156,130.92
32,Few_Shot_with_Reasoning,1,0.822,0.6969,0.7168,83.79,0.0,0,10,26813,320,0.6969,372.5
64,Enhanced_Zero_Shot,1,0.822,0.7156,0.731,54.53,0.0,0,5,17449,320,0.7156,170.31
64,Few_Shot_with_Reasoning,1,0.8317,0.6906,0.705,64.94,0.0,0,5,20780,320,0.6906,193.07
