Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7273,,0.76,0.7188,242.12,0.0,0.7188,480.25
1,Few_Shot_with_Reasoning,0.7307,,0.8131,0.7188,529.85,0.0,0.7188,653.31
2,Enhanced_Zero_Shot,0.7294,,0.7709,0.7188,146.17,0.0,0.7188,292.03
2,Few_Shot_with_Reasoning,0.695,,0.7874,0.6813,309.98,0.0,0.6813,738.2
4,Enhanced_Zero_Shot,0.7482,,0.7895,0.7375,98.72,0.0,0.7375,207.62
4,Few_Shot_with_Reasoning,0.7197,,0.8082,0.7031,193.77,0.0,0.7031,419.42
8,Enhanced_Zero_Shot,0.7449,,0.7985,0.7312,74.54,0.0,0.7312,156.92
8,Few_Shot_with_Reasoning,0.7273,,0.8206,0.7125,133.66,0.0,0.7125,405.41
16,Enhanced_Zero_Shot,0.7333,,0.7994,0.7219,63.11,0.0,0.7219,142.74
16,Few_Shot_with_Reasoning,0.7224,,0.8252,0.7063,102.09,0.0,0.7063,375.08
32,Enhanced_Zero_Shot,0.7321,,0.8,0.7156,57.39,0.0,0.7156,130.92
32,Few_Shot_with_Reasoning,0.7168,,0.822,0.6969,83.79,0.0,0.6969,372.5
64,Enhanced_Zero_Shot,0.731,,0.822,0.7156,54.53,0.0,0.7156,170.31
64,Few_Shot_with_Reasoning,0.705,,0.8317,0.6906,64.94,0.0,0.6906,193.07
