batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8893,0.8854,0.8852,236.2,0.0,0,384,90701,384,0.8854,1267.06
1,Few_Shot_with_Reasoning,1,0.8998,0.8984,0.8981,418.01,0.0,0,384,160517,384,0.8984,2688.34
2,Enhanced_Zero_Shot,1,0.8828,0.8802,0.88,144.45,0.0,0,192,55470,384,0.8802,1211.6
2,Few_Shot_with_Reasoning,1,0.8923,0.8906,0.8905,256.91,0.0,0,192,98654,384,0.8906,2198.15
4,Enhanced_Zero_Shot,1,0.8869,0.8854,0.8849,98.21,0.0,0,96,37714,384,0.8854,908.3
4,Few_Shot_with_Reasoning,1,0.888,0.8854,0.885,173.59,0.0,0,96,66660,384,0.8854,790.52
8,Enhanced_Zero_Shot,1,0.8837,0.8828,0.8823,74.43,0.0,0,48,28582,384,0.8828,333.97
8,Few_Shot_with_Reasoning,1,0.8903,0.888,0.8877,127.59,0.0,0,48,48993,384,0.888,1024.26
16,Enhanced_Zero_Shot,1,0.8993,0.8984,0.8983,63.34,0.0,0,24,24322,384,0.8984,290.64
16,Few_Shot_with_Reasoning,1,0.8709,0.8698,0.8689,100.96,0.0,0,24,38769,384,0.8698,949.42
32,Enhanced_Zero_Shot,1,0.8963,0.8958,0.8954,57.9,0.0,0,12,22234,384,0.8958,415.27
32,Few_Shot_with_Reasoning,1,0.8769,0.875,0.8744,84.48,0.0,0,12,32440,384,0.875,594.08
64,Enhanced_Zero_Shot,1,0.8867,0.8854,0.8854,55.14,0.0,0,6,21172,384,0.8854,226.89
64,Few_Shot_with_Reasoning,1,0.8841,0.8828,0.8825,64.78,0.0,0,6,24874,384,0.8828,230.54
