Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.8852,,0.8893,0.8854,236.2,0.0,0.8854,1267.06
1,Few_Shot_with_Reasoning,0.8981,,0.8998,0.8984,418.01,0.0,0.8984,2688.34
2,Enhanced_Zero_Shot,0.88,,0.8828,0.8802,144.45,0.0,0.8802,1211.6
2,Few_Shot_with_Reasoning,0.8905,,0.8923,0.8906,256.91,0.0,0.8906,2198.15
4,Enhanced_Zero_Shot,0.8849,,0.8869,0.8854,98.21,0.0,0.8854,908.3
4,Few_Shot_with_Reasoning,0.885,,0.888,0.8854,173.59,0.0,0.8854,790.52
8,Enhanced_Zero_Shot,0.8823,,0.8837,0.8828,74.43,0.0,0.8828,333.97
8,Few_Shot_with_Reasoning,0.8877,,0.8903,0.888,127.59,0.0,0.888,1024.26
16,Enhanced_Zero_Shot,0.8983,,0.8993,0.8984,63.34,0.0,0.8984,290.64
16,Few_Shot_with_Reasoning,0.8689,,0.8709,0.8698,100.96,0.0,0.8698,949.42
32,Enhanced_Zero_Shot,0.8954,,0.8963,0.8958,57.9,0.0,0.8958,415.27
32,Few_Shot_with_Reasoning,0.8744,,0.8769,0.875,84.48,0.0,0.875,594.08
64,Enhanced_Zero_Shot,0.8854,,0.8867,0.8854,55.14,0.0,0.8854,226.89
64,Few_Shot_with_Reasoning,0.8825,,0.8841,0.8828,64.78,0.0,0.8828,230.54
