batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7831,0.7344,0.7324,235.54,0.0,0,384,90447,384,0.7344,1710.54
1,Few_Shot_with_Reasoning,1,0.7799,0.7031,0.7007,423.41,0.0,0,384,162588,384,0.7031,3674.26
2,Enhanced_Zero_Shot,1,0.7647,0.7214,0.7209,142.86,0.0,0,192,54860,384,0.7214,1240.59
2,Few_Shot_with_Reasoning,1,0.7899,0.7031,0.6983,256.25,0.0,0,192,98399,384,0.7031,4383.0
4,Enhanced_Zero_Shot,1,0.7725,0.7214,0.7207,96.77,0.0,0,96,37160,384,0.7214,1355.06
4,Few_Shot_with_Reasoning,1,0.7867,0.6875,0.6835,166.67,0.0,0,96,64003,384,0.6875,2245.2
8,Enhanced_Zero_Shot,1,0.7583,0.7005,0.7002,73.97,0.0,0,48,28404,384,0.7005,803.91
8,Few_Shot_with_Reasoning,1,0.7759,0.6745,0.6709,119.47,0.0,0,48,45877,384,0.6745,489.38
16,Enhanced_Zero_Shot,1,0.7916,0.7161,0.7124,62.75,0.0,0,24,24096,384,0.7161,186.59
16,Few_Shot_with_Reasoning,1,0.7779,0.6797,0.677,94.85,0.0,0,24,36422,384,0.6797,354.65
32,Enhanced_Zero_Shot,1,0.7928,0.7057,0.7019,57.28,0.0,0,12,21996,384,0.7057,147.87
32,Few_Shot_with_Reasoning,1,0.7874,0.6719,0.6665,79.28,0.0,0,12,30444,384,0.6719,252.6
64,Enhanced_Zero_Shot,1,0.7987,0.6797,0.6767,54.55,0.0,0,6,20946,384,0.6797,135.21
64,Few_Shot_with_Reasoning,1,0.8066,0.6693,0.6641,61.34,0.0,0,6,23553,384,0.6693,213.67
