Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7324,,0.7831,0.7344,235.54,0.0,0.7344,1710.54
1,Few_Shot_with_Reasoning,0.7007,,0.7799,0.7031,423.41,0.0,0.7031,3674.26
2,Enhanced_Zero_Shot,0.7209,,0.7647,0.7214,142.86,0.0,0.7214,1240.59
2,Few_Shot_with_Reasoning,0.6983,,0.7899,0.7031,256.25,0.0,0.7031,4383.0
4,Enhanced_Zero_Shot,0.7207,,0.7725,0.7214,96.77,0.0,0.7214,1355.06
4,Few_Shot_with_Reasoning,0.6835,,0.7867,0.6875,166.67,0.0,0.6875,2245.2
8,Enhanced_Zero_Shot,0.7002,,0.7583,0.7005,73.97,0.0,0.7005,803.91
8,Few_Shot_with_Reasoning,0.6709,,0.7759,0.6745,119.47,0.0,0.6745,489.38
16,Enhanced_Zero_Shot,0.7124,,0.7916,0.7161,62.75,0.0,0.7161,186.59
16,Few_Shot_with_Reasoning,0.677,,0.7779,0.6797,94.85,0.0,0.6797,354.65
32,Enhanced_Zero_Shot,0.7019,,0.7928,0.7057,57.28,0.0,0.7057,147.87
32,Few_Shot_with_Reasoning,0.6665,,0.7874,0.6719,79.28,0.0,0.6719,252.6
64,Enhanced_Zero_Shot,0.6767,,0.7987,0.6797,54.55,0.0,0.6797,135.21
64,Few_Shot_with_Reasoning,0.6641,,0.8066,0.6693,61.34,0.0,0.6693,213.67
