Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.9375,,0.9378,0.9375,230.89,0.0,0.9375,609.37
1,Few_Shot_with_Reasoning,0.95,,0.9503,0.95,370.79,0.0,0.95,1224.05
2,Enhanced_Zero_Shot,0.9281,,0.9285,0.9281,139.47,0.0,0.9281,648.55
2,Few_Shot_with_Reasoning,0.9406,,0.9408,0.9406,234.1,0.0,0.9406,1622.76
4,Enhanced_Zero_Shot,0.9312,,0.9319,0.9312,95.27,0.0,0.9313,339.04
4,Few_Shot_with_Reasoning,0.9344,,0.9348,0.9344,160.15,0.0,0.9344,688.54
8,Enhanced_Zero_Shot,0.9437,,0.9438,0.9437,73.8,0.0,0.9437,180.41
8,Few_Shot_with_Reasoning,0.9437,,0.944,0.9438,121.53,0.0,0.9437,592.96
16,Enhanced_Zero_Shot,0.9406,,0.9411,0.9406,63.11,0.0,0.9406,130.71
16,Few_Shot_with_Reasoning,0.9374,,0.9392,0.9375,99.29,0.0,0.9375,307.98
32,Enhanced_Zero_Shot,0.9437,,0.9449,0.9437,57.77,0.0,0.9437,366.34
32,Few_Shot_with_Reasoning,0.9312,,0.9337,0.9313,80.46,0.0,0.9313,498.3
64,Enhanced_Zero_Shot,0.95,,0.9503,0.95,55.09,0.0,0.95,180.44
64,Few_Shot_with_Reasoning,0.9375,,0.9386,0.9375,67.23,0.0,0.9375,236.57
