batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.796,0.7344,0.7198,230.02,0.0,0,320,73607,320,0.7344,598.12
1,Few_Shot_with_Reasoning,1,0.8004,0.7156,0.694,371.14,0.0,0,320,118766,320,0.7156,1241.38
2,Enhanced_Zero_Shot,1,0.7705,0.7188,0.7046,138.5,0.0,0,160,44321,320,0.7188,388.62
2,Few_Shot_with_Reasoning,1,0.8068,0.7031,0.6757,229.45,0.0,0,160,73423,320,0.7031,998.86
4,Enhanced_Zero_Shot,1,0.7983,0.7219,0.7028,94.63,0.0,0,80,30281,320,0.7219,406.99
4,Few_Shot_with_Reasoning,1,0.8027,0.6937,0.6635,150.42,0.0,0,80,48134,320,0.6937,604.92
8,Enhanced_Zero_Shot,1,0.7926,0.7,0.6742,73.29,0.0,0,40,23453,320,0.7,533.3
8,Few_Shot_with_Reasoning,1,0.8014,0.6906,0.6593,112.05,0.0,0,40,35855,320,0.6906,843.06
16,Enhanced_Zero_Shot,1,0.7926,0.7,0.6742,62.49,0.0,0,20,19997,320,0.7,179.81
16,Few_Shot_with_Reasoning,1,0.7959,0.6938,0.6648,91.82,0.0,0,20,29381,320,0.6937,529.11
32,Enhanced_Zero_Shot,1,0.7863,0.6875,0.658,57.22,0.0,0,10,18311,320,0.6875,220.88
32,Few_Shot_with_Reasoning,1,0.7988,0.6844,0.651,78.62,0.0,0,10,25159,320,0.6844,264.64
64,Enhanced_Zero_Shot,1,0.7944,0.6906,0.6607,54.48,0.0,0,5,17432,320,0.6906,150.93
64,Few_Shot_with_Reasoning,1,0.7896,0.6625,0.6209,66.49,0.0,0,5,21277,320,0.6625,219.94
