Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7198,,0.796,0.7344,230.02,0.0,0.7344,598.12
1,Few_Shot_with_Reasoning,0.694,,0.8004,0.7156,371.14,0.0,0.7156,1241.38
2,Enhanced_Zero_Shot,0.7046,,0.7705,0.7188,138.5,0.0,0.7188,388.62
2,Few_Shot_with_Reasoning,0.6757,,0.8068,0.7031,229.45,0.0,0.7031,998.86
4,Enhanced_Zero_Shot,0.7028,,0.7983,0.7219,94.63,0.0,0.7219,406.99
4,Few_Shot_with_Reasoning,0.6635,,0.8027,0.6937,150.42,0.0,0.6937,604.92
8,Enhanced_Zero_Shot,0.6742,,0.7926,0.7,73.29,0.0,0.7,533.3
8,Few_Shot_with_Reasoning,0.6593,,0.8014,0.6906,112.05,0.0,0.6906,843.06
16,Enhanced_Zero_Shot,0.6742,,0.7926,0.7,62.49,0.0,0.7,179.81
16,Few_Shot_with_Reasoning,0.6648,,0.7959,0.6938,91.82,0.0,0.6937,529.11
32,Enhanced_Zero_Shot,0.658,,0.7863,0.6875,57.22,0.0,0.6875,220.88
32,Few_Shot_with_Reasoning,0.651,,0.7988,0.6844,78.62,0.0,0.6844,264.64
64,Enhanced_Zero_Shot,0.6607,,0.7944,0.6906,54.48,0.0,0.6906,150.93
64,Few_Shot_with_Reasoning,0.6209,,0.7896,0.6625,66.49,0.0,0.6625,219.94
