batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8725,0.8719,0.8713,238.75,0.0,0,320,76400,320,0.8719,646.76
1,Few_Shot_with_Reasoning,1,0.8631,0.8594,0.8576,476.89,0.0,0,320,152606,320,0.8594,719.86
2,Enhanced_Zero_Shot,1,0.8441,0.8406,0.84,144.99,0.0,0,160,46396,320,0.8406,472.86
2,Few_Shot_with_Reasoning,1,0.8476,0.8438,0.8404,286.46,0.0,0,160,91668,320,0.8438,916.81
4,Enhanced_Zero_Shot,1,0.8331,0.8313,0.8306,97.44,0.0,0,80,31180,320,0.8313,272.88
4,Few_Shot_with_Reasoning,1,0.8351,0.8281,0.8263,187.65,0.0,0,80,60047,320,0.8281,518.36
8,Enhanced_Zero_Shot,1,0.8366,0.8344,0.8336,74.24,0.0,0,40,23756,320,0.8344,223.71
8,Few_Shot_with_Reasoning,1,0.8396,0.8375,0.8361,132.58,0.0,0,40,42427,320,0.8375,412.43
16,Enhanced_Zero_Shot,1,0.8444,0.8438,0.8429,62.98,0.0,0,20,20152,320,0.8438,126.84
16,Few_Shot_with_Reasoning,1,0.8119,0.8125,0.8111,103.46,0.0,0,20,33108,320,0.8125,400.02
32,Enhanced_Zero_Shot,1,0.8688,0.8656,0.865,57.38,0.0,0,10,18362,320,0.8656,130.58
32,Few_Shot_with_Reasoning,1,0.8281,0.8219,0.8197,82.03,0.0,0,10,26251,320,0.8219,248.09
64,Enhanced_Zero_Shot,1,0.8455,0.8406,0.8393,54.58,0.0,0,5,17467,320,0.8406,125.72
64,Few_Shot_with_Reasoning,1,0.8433,0.8344,0.8334,66.96,0.0,0,5,21428,320,0.8344,191.64
