batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7748,0.725,0.7284,238.96,0.0,0,320,76466,320,0.725,1007.01
1,Few_Shot_with_Reasoning,1,0.8012,0.7125,0.7144,477.15,0.0,0,320,152687,320,0.7125,905.02
2,Enhanced_Zero_Shot,1,0.7754,0.7094,0.7151,145.48,0.0,0,160,46554,320,0.7094,411.74
2,Few_Shot_with_Reasoning,1,0.7921,0.6844,0.6896,282.43,0.0,0,160,90377,320,0.6844,993.98
4,Enhanced_Zero_Shot,1,0.7758,0.7125,0.7176,97.94,0.0,0,80,31342,320,0.7125,261.84
4,Few_Shot_with_Reasoning,1,0.7908,0.6844,0.6883,179.57,0.0,0,80,57463,320,0.6844,611.65
8,Enhanced_Zero_Shot,1,0.7883,0.7219,0.7261,74.47,0.0,0,40,23830,320,0.7219,172.57
8,Few_Shot_with_Reasoning,1,0.8112,0.7156,0.723,127.15,0.0,0,40,40689,320,0.7156,290.16
16,Enhanced_Zero_Shot,1,0.79,0.7125,0.7155,63.28,0.0,0,20,20250,320,0.7125,147.83
16,Few_Shot_with_Reasoning,1,0.8139,0.7125,0.7172,99.48,0.0,0,20,31834,320,0.7125,399.46
32,Enhanced_Zero_Shot,1,0.791,0.7031,0.7069,57.69,0.0,0,10,18460,320,0.7031,122.19
32,Few_Shot_with_Reasoning,1,0.8171,0.7063,0.7083,83.51,0.0,0,10,26724,320,0.7063,898.58
64,Enhanced_Zero_Shot,1,0.7993,0.7,0.706,54.89,0.0,0,5,17565,320,0.7,187.29
64,Few_Shot_with_Reasoning,1,0.8138,0.6875,0.6867,63.45,0.0,0,5,20303,320,0.6875,182.47
