Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7284,,0.7748,0.725,238.96,0.0,0.725,1007.01
1,Few_Shot_with_Reasoning,0.7144,,0.8012,0.7125,477.15,0.0,0.7125,905.02
2,Enhanced_Zero_Shot,0.7151,,0.7754,0.7094,145.48,0.0,0.7094,411.74
2,Few_Shot_with_Reasoning,0.6896,,0.7921,0.6844,282.43,0.0,0.6844,993.98
4,Enhanced_Zero_Shot,0.7176,,0.7758,0.7125,97.94,0.0,0.7125,261.84
4,Few_Shot_with_Reasoning,0.6883,,0.7908,0.6844,179.57,0.0,0.6844,611.65
8,Enhanced_Zero_Shot,0.7261,,0.7883,0.7219,74.47,0.0,0.7219,172.57
8,Few_Shot_with_Reasoning,0.723,,0.8112,0.7156,127.15,0.0,0.7156,290.16
16,Enhanced_Zero_Shot,0.7155,,0.79,0.7125,63.28,0.0,0.7125,147.83
16,Few_Shot_with_Reasoning,0.7172,,0.8139,0.7125,99.48,0.0,0.7125,399.46
32,Enhanced_Zero_Shot,0.7069,,0.791,0.7031,57.69,0.0,0.7031,122.19
32,Few_Shot_with_Reasoning,0.7083,,0.8171,0.7063,83.51,0.0,0.7063,898.58
64,Enhanced_Zero_Shot,0.706,,0.7993,0.7,54.89,0.0,0.7,187.29
64,Few_Shot_with_Reasoning,0.6867,,0.8138,0.6875,63.45,0.0,0.6875,182.47
