batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7664,0.7219,0.7304,242.27,0.0,0,320,77526,320,0.7219,532.12
1,Few_Shot_with_Reasoning,1,0.808,0.7156,0.7292,528.87,0.0,0,320,169239,320,0.7156,748.45
2,Enhanced_Zero_Shot,1,0.7916,0.7281,0.7398,146.47,0.0,0,160,46870,320,0.7281,283.53
2,Few_Shot_with_Reasoning,1,0.7901,0.6906,0.705,309.18,0.0063,1,160,98937,320,0.6906,646.66
4,Enhanced_Zero_Shot,1,0.7879,0.7344,0.746,98.39,0.0,0,80,31486,320,0.7344,291.72
4,Few_Shot_with_Reasoning,1,0.8103,0.7031,0.7194,193.52,0.0,0,80,61927,320,0.7031,538.72
8,Enhanced_Zero_Shot,1,0.7988,0.7312,0.7434,74.54,0.0,0,40,23854,320,0.7312,193.74
8,Few_Shot_with_Reasoning,1,0.8162,0.7063,0.7228,133.99,0.0,0,40,42876,320,0.7063,525.86
16,Enhanced_Zero_Shot,1,0.798,0.7188,0.7318,63.11,0.0,0,20,20194,320,0.7188,161.04
16,Few_Shot_with_Reasoning,1,0.8225,0.7156,0.7299,101.95,0.0,0,20,32623,320,0.7156,350.42
32,Enhanced_Zero_Shot,1,0.8166,0.7281,0.7438,57.39,0.0,0,10,18364,320,0.7281,130.96
32,Few_Shot_with_Reasoning,1,0.813,0.6937,0.7118,82.63,0.0,0,10,26442,320,0.6937,271.56
64,Enhanced_Zero_Shot,1,0.8383,0.7219,0.7391,54.53,0.0,0,5,17449,320,0.7219,113.88
64,Few_Shot_with_Reasoning,1,0.8389,0.7,0.7157,65.79,0.0,0,5,21053,320,0.7,206.62
