Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7304,,0.7664,0.7219,242.27,0.0,0.7219,532.12
1,Few_Shot_with_Reasoning,0.7292,,0.808,0.7156,528.87,0.0,0.7156,748.45
2,Enhanced_Zero_Shot,0.7398,,0.7916,0.7281,146.47,0.0,0.7281,283.53
2,Few_Shot_with_Reasoning,0.705,,0.7901,0.6906,309.18,0.0063,0.6906,646.66
4,Enhanced_Zero_Shot,0.746,,0.7879,0.7344,98.39,0.0,0.7344,291.72
4,Few_Shot_with_Reasoning,0.7194,,0.8103,0.7031,193.52,0.0,0.7031,538.72
8,Enhanced_Zero_Shot,0.7434,,0.7988,0.7312,74.54,0.0,0.7312,193.74
8,Few_Shot_with_Reasoning,0.7228,,0.8162,0.7063,133.99,0.0,0.7063,525.86
16,Enhanced_Zero_Shot,0.7318,,0.798,0.7188,63.11,0.0,0.7188,161.04
16,Few_Shot_with_Reasoning,0.7299,,0.8225,0.7156,101.95,0.0,0.7156,350.42
32,Enhanced_Zero_Shot,0.7438,,0.8166,0.7281,57.39,0.0,0.7281,130.96
32,Few_Shot_with_Reasoning,0.7118,,0.813,0.6937,82.63,0.0,0.6937,271.56
64,Enhanced_Zero_Shot,0.7391,,0.8383,0.7219,54.53,0.0,0.7219,113.88
64,Few_Shot_with_Reasoning,0.7157,,0.8389,0.7,65.79,0.0,0.7,206.62
