batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8908,0.888,0.8876,235.43,0.0,0,384,90406,384,0.888,847.87
1,Few_Shot_with_Reasoning,1,0.9078,0.9062,0.906,417.02,0.0,0,384,160134,384,0.9062,1183.85
2,Enhanced_Zero_Shot,1,0.8883,0.8854,0.8853,144.14,0.0,0,192,55350,384,0.8854,440.14
2,Few_Shot_with_Reasoning,1,0.9011,0.8984,0.8983,256.34,0.0,0,192,98434,384,0.8984,1243.32
4,Enhanced_Zero_Shot,1,0.889,0.888,0.8876,97.94,0.0,0,96,37610,384,0.888,615.42
4,Few_Shot_with_Reasoning,1,0.8842,0.8802,0.8799,172.98,0.0,0,96,66426,384,0.8802,1552.46
8,Enhanced_Zero_Shot,1,0.8818,0.8802,0.8799,74.49,0.0,0,48,28606,384,0.8802,459.72
8,Few_Shot_with_Reasoning,1,0.8981,0.8958,0.8957,129.08,0.0,0,48,49566,384,0.8958,1100.53
16,Enhanced_Zero_Shot,1,0.9016,0.901,0.9008,63.49,0.0,0,24,24382,384,0.901,357.43
16,Few_Shot_with_Reasoning,1,0.8938,0.8906,0.8901,103.03,0.0,0,24,39564,384,0.8906,1393.24
32,Enhanced_Zero_Shot,1,0.8987,0.8984,0.8982,57.93,0.0,0,12,22246,384,0.8984,280.15
32,Few_Shot_with_Reasoning,1,0.8762,0.8724,0.8721,82.3,0.0,0,12,31605,384,0.8724,576.95
64,Enhanced_Zero_Shot,1,0.8916,0.8906,0.8904,55.23,0.0,0,6,21208,384,0.8906,229.17
64,Few_Shot_with_Reasoning,1,0.8938,0.8906,0.8903,73.53,0.0,0,6,28235,384,0.8906,366.4
