batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.768,0.7188,0.7159,235.54,0.0,0,384,90448,384,0.7188,987.18
1,Few_Shot_with_Reasoning,1,0.7747,0.7083,0.7053,423.14,0.0,0,384,162485,384,0.7083,1410.63
2,Enhanced_Zero_Shot,1,0.7666,0.7161,0.7143,142.7,0.0,0,192,54796,384,0.7161,553.85
2,Few_Shot_with_Reasoning,1,0.7843,0.7031,0.6976,254.93,0.0,0,192,97892,384,0.7031,897.6
4,Enhanced_Zero_Shot,1,0.7752,0.7266,0.726,96.45,0.0,0,96,37036,384,0.7266,470.39
4,Few_Shot_with_Reasoning,1,0.7756,0.6849,0.6801,165.98,0.0,0,96,63736,384,0.6849,1162.4
8,Enhanced_Zero_Shot,1,0.7748,0.7109,0.71,73.84,0.0,0,48,28356,384,0.7109,316.67
8,Few_Shot_with_Reasoning,1,0.7747,0.6771,0.6749,119.23,0.0,0,48,45783,384,0.6771,513.18
16,Enhanced_Zero_Shot,1,0.7847,0.7135,0.7093,62.78,0.0,0,24,24108,384,0.7135,363.08
16,Few_Shot_with_Reasoning,1,0.7896,0.6901,0.6895,94.76,0.0,0,24,36388,384,0.6901,424.35
32,Enhanced_Zero_Shot,1,0.7958,0.7031,0.7001,57.28,0.0,0,12,21996,384,0.7031,265.41
32,Few_Shot_with_Reasoning,1,0.7945,0.6693,0.6653,81.26,0.0,0,12,31203,384,0.6693,314.28
64,Enhanced_Zero_Shot,1,0.7999,0.6745,0.6694,54.55,0.0,0,6,20946,384,0.6745,162.41
64,Few_Shot_with_Reasoning,1,0.8035,0.6693,0.6642,63.33,0.0,0,6,24317,384,0.6693,333.98
