Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7159,,0.768,0.7188,235.54,0.0,0.7188,987.18
1,Few_Shot_with_Reasoning,0.7053,,0.7747,0.7083,423.14,0.0,0.7083,1410.63
2,Enhanced_Zero_Shot,0.7143,,0.7666,0.7161,142.7,0.0,0.7161,553.85
2,Few_Shot_with_Reasoning,0.6976,,0.7843,0.7031,254.93,0.0,0.7031,897.6
4,Enhanced_Zero_Shot,0.726,,0.7752,0.7266,96.45,0.0,0.7266,470.39
4,Few_Shot_with_Reasoning,0.6801,,0.7756,0.6849,165.98,0.0,0.6849,1162.4
8,Enhanced_Zero_Shot,0.71,,0.7748,0.7109,73.84,0.0,0.7109,316.67
8,Few_Shot_with_Reasoning,0.6749,,0.7747,0.6771,119.23,0.0,0.6771,513.18
16,Enhanced_Zero_Shot,0.7093,,0.7847,0.7135,62.78,0.0,0.7135,363.08
16,Few_Shot_with_Reasoning,0.6895,,0.7896,0.6901,94.76,0.0,0.6901,424.35
32,Enhanced_Zero_Shot,0.7001,,0.7958,0.7031,57.28,0.0,0.7031,265.41
32,Few_Shot_with_Reasoning,0.6653,,0.7945,0.6693,81.26,0.0,0.6693,314.28
64,Enhanced_Zero_Shot,0.6694,,0.7999,0.6745,54.55,0.0,0.6745,162.41
64,Few_Shot_with_Reasoning,0.6642,,0.8035,0.6693,63.33,0.0,0.6693,333.98
