batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.9411,0.9406,0.9406,458.37,0.0,0,320,146679,320,0.9406,2379.36
1,Few_Shot_with_Reasoning,1,0.9406,0.9406,0.9406,641.97,0.0,0,320,205431,320,0.9406,3068.06
2,Enhanced_Zero_Shot,1,0.9256,0.925,0.925,316.57,0.0,0,160,101301,320,0.925,2972.56
2,Few_Shot_with_Reasoning,1,0.9444,0.9438,0.9437,397.15,0.0,0,160,127087,320,0.9437,1967.34
4,Enhanced_Zero_Shot,1,0.9444,0.9438,0.9437,247.29,0.0,0,80,79132,320,0.9437,3221.27
4,Few_Shot_with_Reasoning,1,0.9469,0.9469,0.9469,309.2,0.0,0,80,98945,320,0.9469,2426.86
8,Enhanced_Zero_Shot,1,0.9408,0.9406,0.9406,196.6,0.0,0,40,62911,320,0.9406,1367.54
8,Few_Shot_with_Reasoning,1,0.9533,0.9531,0.9531,260.73,0.0,0,40,83433,320,0.9531,1737.93
16,Enhanced_Zero_Shot,1,0.944,0.9438,0.9437,153.27,0.0,0,20,49045,320,0.9437,982.32
16,Few_Shot_with_Reasoning,1,0.9469,0.9469,0.9469,201.18,0.0,0,20,64379,320,0.9469,1234.15
32,Enhanced_Zero_Shot,1,0.9503,0.95,0.95,129.37,0.0,0,10,41399,320,0.95,751.32
32,Few_Shot_with_Reasoning,1,0.947,0.9469,0.9469,145.71,0.0,0,10,46627,320,0.9469,890.68
64,Enhanced_Zero_Shot,1,0.9533,0.9531,0.9531,99.04,0.0,0,5,31693,320,0.9531,509.79
64,Few_Shot_with_Reasoning,1,0.9352,0.9344,0.9343,108.89,0.0,0,5,34844,320,0.9344,570.82
