batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7457,0.7406,0.7393,435.12,0.0,0,320,139239,320,0.7406,2193.54
1,Few_Shot_with_Reasoning,1,0.7686,0.7031,0.6839,563.02,0.0,0,320,180168,320,0.7031,2329.04
2,Enhanced_Zero_Shot,1,0.7199,0.7094,0.7059,285.67,0.0,0,160,91414,320,0.7094,1463.49
2,Few_Shot_with_Reasoning,1,0.7624,0.7063,0.6897,313.97,0.0,0,160,100471,320,0.7063,1263.81
4,Enhanced_Zero_Shot,1,0.7748,0.7469,0.7403,184.19,0.0,0,80,58942,320,0.7469,917.49
4,Few_Shot_with_Reasoning,1,0.775,0.7063,0.6867,195.68,0.0,0,80,62616,320,0.7063,814.69
8,Enhanced_Zero_Shot,1,0.7596,0.7219,0.7114,129.08,0.0,0,40,41305,320,0.7219,622.77
8,Few_Shot_with_Reasoning,1,0.8004,0.7156,0.694,141.46,0.0,0,40,45268,320,0.7156,604.04
16,Enhanced_Zero_Shot,1,0.7657,0.7219,0.7099,101.99,0.0,0,20,32637,320,0.7219,477.81
16,Few_Shot_with_Reasoning,1,0.7847,0.7063,0.6845,110.7,0.0,0,20,35425,320,0.7063,488.17
32,Enhanced_Zero_Shot,1,0.7705,0.7188,0.7046,83.31,0.0,0,10,26658,320,0.7188,356.03
32,Few_Shot_with_Reasoning,1,0.7884,0.7031,0.6794,88.59,0.0,0,10,28349,320,0.7031,376.76
64,Enhanced_Zero_Shot,1,0.768,0.7375,0.7298,74.38,0.0,0,5,23803,320,0.7375,304.81
64,Few_Shot_with_Reasoning,1,0.7763,0.7156,0.6991,71.68,0.0,0,5,22939,320,0.7156,275.2
