Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7393,,0.7457,0.7406,435.12,0.0,0.7406,2193.54
1,Few_Shot_with_Reasoning,0.6839,,0.7686,0.7031,563.02,0.0,0.7031,2329.04
2,Enhanced_Zero_Shot,0.7059,,0.7199,0.7094,285.67,0.0,0.7094,1463.49
2,Few_Shot_with_Reasoning,0.6897,,0.7624,0.7063,313.97,0.0,0.7063,1263.81
4,Enhanced_Zero_Shot,0.7403,,0.7748,0.7469,184.19,0.0,0.7469,917.49
4,Few_Shot_with_Reasoning,0.6867,,0.775,0.7063,195.68,0.0,0.7063,814.69
8,Enhanced_Zero_Shot,0.7114,,0.7596,0.7219,129.08,0.0,0.7219,622.77
8,Few_Shot_with_Reasoning,0.694,,0.8004,0.7156,141.46,0.0,0.7156,604.04
16,Enhanced_Zero_Shot,0.7099,,0.7657,0.7219,101.99,0.0,0.7219,477.81
16,Few_Shot_with_Reasoning,0.6845,,0.7847,0.7063,110.7,0.0,0.7063,488.17
32,Enhanced_Zero_Shot,0.7046,,0.7705,0.7188,83.31,0.0,0.7188,356.03
32,Few_Shot_with_Reasoning,0.6794,,0.7884,0.7031,88.59,0.0,0.7031,376.76
64,Enhanced_Zero_Shot,0.7298,,0.768,0.7375,74.38,0.0,0.7375,304.81
64,Few_Shot_with_Reasoning,0.6991,,0.7763,0.7156,71.68,0.0,0.7156,275.2
