batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8628,0.8469,0.8457,505.84,0.0,0,320,161869,320,0.8469,2804.04
1,Few_Shot_with_Reasoning,1,0.8557,0.8438,0.8411,813.22,0.0,0,320,260229,320,0.8438,3330.34
2,Enhanced_Zero_Shot,1,0.8592,0.8531,0.8525,313.48,0.0,0,160,100314,320,0.8531,1506.64
2,Few_Shot_with_Reasoning,1,0.847,0.8406,0.8389,473.23,0.0,0,160,151434,320,0.8406,1912.03
4,Enhanced_Zero_Shot,1,0.8464,0.8375,0.8364,258.36,0.0,0,80,82674,320,0.8375,1331.71
4,Few_Shot_with_Reasoning,1,0.8479,0.8312,0.8296,350.79,0.0,0,80,112253,320,0.8313,1612.31
8,Enhanced_Zero_Shot,1,0.8252,0.8187,0.8169,200.26,0.0,0,40,64082,320,0.8187,1043.36
8,Few_Shot_with_Reasoning,1,0.8551,0.8469,0.846,295.29,0.0,0,40,94493,320,0.8469,1406.16
16,Enhanced_Zero_Shot,1,0.8424,0.8281,0.8286,158.54,0.0,0,20,50734,320,0.8281,800.21
16,Few_Shot_with_Reasoning,1,0.8724,0.8563,0.8552,225.92,0.0,0,20,72295,320,0.8562,1004.39
32,Enhanced_Zero_Shot,1,0.8292,0.8187,0.8183,129.37,0.0,0,10,41397,320,0.8187,577.38
32,Few_Shot_with_Reasoning,1,0.8359,0.8219,0.8206,161.19,0.0,0,10,51581,320,0.8219,706.93
64,Enhanced_Zero_Shot,1,0.8509,0.8375,0.8376,92.65,0.0,0,5,29648,320,0.8375,319.15
64,Few_Shot_with_Reasoning,1,0.8481,0.8313,0.8313,113.06,0.0,0,5,36179,320,0.8313,411.24
