batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7679,0.7438,0.7471,496.23,0.0,0,320,158793,320,0.7438,2823.82
1,Few_Shot_with_Reasoning,1,0.7953,0.7156,0.7219,708.31,0.0,0,320,226658,320,0.7156,2588.11
2,Enhanced_Zero_Shot,1,0.7487,0.7125,0.7168,300.62,0.0,0,160,96200,320,0.7125,1545.42
2,Few_Shot_with_Reasoning,1,0.802,0.7156,0.7218,392.84,0.0,0,160,125709,320,0.7156,1455.39
4,Enhanced_Zero_Shot,1,0.7829,0.725,0.7298,193.22,0.0,0,80,61832,320,0.725,928.26
4,Few_Shot_with_Reasoning,1,0.7616,0.6813,0.6858,240.68,0.0,0,80,77017,320,0.6813,939.24
8,Enhanced_Zero_Shot,1,0.7944,0.7281,0.7348,140.13,0.0,0,40,44842,320,0.7281,679.03
8,Few_Shot_with_Reasoning,1,0.8213,0.7063,0.7124,161.93,0.0,0,40,51817,320,0.7063,693.81
16,Enhanced_Zero_Shot,1,0.8011,0.725,0.7304,111.33,0.0,0,20,35625,320,0.725,532.73
16,Few_Shot_with_Reasoning,1,0.8016,0.7,0.7037,119.61,0.0,0,20,38274,320,0.7,484.45
32,Enhanced_Zero_Shot,1,0.7864,0.7188,0.7252,86.9,0.0,0,10,27808,320,0.7188,372.62
32,Few_Shot_with_Reasoning,1,0.8314,0.7281,0.7335,92.34,0.0,0,10,29548,320,0.7281,362.4
64,Enhanced_Zero_Shot,1,0.7681,0.7094,0.7163,71.05,0.0,0,5,22736,320,0.7094,266.55
64,Few_Shot_with_Reasoning,1,0.8109,0.7,0.6973,75.27,0.0,0,5,24086,320,0.7,269.11
