Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7471,,0.7679,0.7438,496.23,0.0,0.7438,2823.82
1,Few_Shot_with_Reasoning,0.7219,,0.7953,0.7156,708.31,0.0,0.7156,2588.11
2,Enhanced_Zero_Shot,0.7168,,0.7487,0.7125,300.62,0.0,0.7125,1545.42
2,Few_Shot_with_Reasoning,0.7218,,0.802,0.7156,392.84,0.0,0.7156,1455.39
4,Enhanced_Zero_Shot,0.7298,,0.7829,0.725,193.22,0.0,0.725,928.26
4,Few_Shot_with_Reasoning,0.6858,,0.7616,0.6813,240.68,0.0,0.6813,939.24
8,Enhanced_Zero_Shot,0.7348,,0.7944,0.7281,140.13,0.0,0.7281,679.03
8,Few_Shot_with_Reasoning,0.7124,,0.8213,0.7063,161.93,0.0,0.7063,693.81
16,Enhanced_Zero_Shot,0.7304,,0.8011,0.725,111.33,0.0,0.725,532.73
16,Few_Shot_with_Reasoning,0.7037,,0.8016,0.7,119.61,0.0,0.7,484.45
32,Enhanced_Zero_Shot,0.7252,,0.7864,0.7188,86.9,0.0,0.7188,372.62
32,Few_Shot_with_Reasoning,0.7335,,0.8314,0.7281,92.34,0.0,0.7281,362.4
64,Enhanced_Zero_Shot,0.7163,,0.7681,0.7094,71.05,0.0,0.7094,266.55
64,Few_Shot_with_Reasoning,0.6973,,0.8109,0.7,75.27,0.0,0.7,269.11
