batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7329,0.7156,0.7175,521.64,0.0,0,320,166926,320,0.7156,2783.99
1,Few_Shot_with_Reasoning,1,0.7678,0.6969,0.7093,785.23,0.0,0,320,251275,320,0.6969,2797.09
2,Enhanced_Zero_Shot,1,0.7251,0.7094,0.7115,286.39,0.0,0,160,91645,320,0.7094,1391.62
2,Few_Shot_with_Reasoning,1,0.7682,0.6969,0.7112,426.06,0.0,0,160,136339,320,0.6969,1544.72
4,Enhanced_Zero_Shot,1,0.7423,0.7063,0.711,203.16,0.0,0,80,65012,320,0.7063,1030.98
4,Few_Shot_with_Reasoning,1,0.7858,0.7031,0.7175,277.05,0.0,0,80,88657,320,0.7031,1135.39
8,Enhanced_Zero_Shot,1,0.7889,0.7406,0.7503,143.36,0.0,0,40,45874,320,0.7406,685.97
8,Few_Shot_with_Reasoning,1,0.8003,0.7156,0.7308,179.08,0.0,0,40,57307,320,0.7156,726.13
16,Enhanced_Zero_Shot,1,0.8071,0.725,0.739,109.05,0.0,0,20,34897,320,0.725,495.78
16,Few_Shot_with_Reasoning,1,0.8176,0.7125,0.7257,143.25,0.0,0,20,45839,320,0.7125,744.87
32,Enhanced_Zero_Shot,1,0.8171,0.7344,0.7481,92.17,0.0,0,10,29496,320,0.7344,454.69
32,Few_Shot_with_Reasoning,1,0.8121,0.6969,0.7151,108.74,0.0,0,10,34798,320,0.6969,547.73
64,Enhanced_Zero_Shot,1,0.7947,0.7219,0.7331,76.96,0.0,0,5,24626,320,0.7219,308.5
64,Few_Shot_with_Reasoning,1,0.8203,0.7125,0.7239,84.26,0.0,0,5,26964,320,0.7125,334.06
