batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.882,0.8646,0.8642,501.86,0.0,0,384,192715,384,0.8646,3102.72
1,Few_Shot_with_Reasoning,1,0.8873,0.8776,0.8759,718.64,0.0,0,384,275957,384,0.8776,3682.66
2,Enhanced_Zero_Shot,1,0.8771,0.8698,0.8687,308.67,0.0,0,192,118531,384,0.8698,1868.0
2,Few_Shot_with_Reasoning,1,0.8793,0.8672,0.8659,411.89,0.0,0,192,158164,384,0.8672,2119.3
4,Enhanced_Zero_Shot,1,0.8746,0.8646,0.8639,258.67,0.0,0,96,99329,384,0.8646,1703.33
4,Few_Shot_with_Reasoning,1,0.8905,0.8828,0.8814,331.85,0.0,0,96,127432,384,0.8828,2048.25
8,Enhanced_Zero_Shot,1,0.8749,0.8646,0.8646,223.26,0.0,0,48,85733,384,0.8646,1533.06
8,Few_Shot_with_Reasoning,1,0.8932,0.8854,0.8831,236.36,0.0,0,48,90764,384,0.8854,1483.28
16,Enhanced_Zero_Shot,1,0.857,0.8464,0.8449,175.8,0.0,0,24,67509,384,0.8464,1177.48
16,Few_Shot_with_Reasoning,1,0.8749,0.862,0.8606,202.64,0.0,0,24,77814,384,0.862,1344.19
32,Enhanced_Zero_Shot,1,0.8901,0.8854,0.8846,130.87,0.0,0,12,50254,384,0.8854,847.04
32,Few_Shot_with_Reasoning,1,0.8867,0.875,0.8733,141.55,0.0,0,12,54357,384,0.875,874.27
64,Enhanced_Zero_Shot,1,0.8797,0.8776,0.8768,109.17,0.0,0,6,41921,384,0.8776,665.57
64,Few_Shot_with_Reasoning,1,0.8715,0.8594,0.857,113.66,0.0,0,6,43647,384,0.8594,674.62
