batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7113,0.7005,0.7025,469.98,0.0,0,384,180472,384,0.7005,2898.04
1,Few_Shot_with_Reasoning,1,0.773,0.6875,0.6818,661.02,0.0,0,384,253830,384,0.6875,3150.92
2,Enhanced_Zero_Shot,1,0.7348,0.7161,0.7187,285.27,0.0,0,192,109542,384,0.7161,1763.56
2,Few_Shot_with_Reasoning,1,0.7693,0.6927,0.6868,350.96,0.0,0,192,134769,384,0.6927,1614.5
4,Enhanced_Zero_Shot,1,0.7507,0.724,0.7259,192.36,0.0,0,96,73865,384,0.724,1154.81
4,Few_Shot_with_Reasoning,1,0.7667,0.6953,0.6917,217.2,0.0,0,96,83404,384,0.6953,1056.05
8,Enhanced_Zero_Shot,1,0.7635,0.7005,0.7024,142.08,0.0,0,48,54558,384,0.7005,852.17
8,Few_Shot_with_Reasoning,1,0.7816,0.6823,0.68,156.7,0.0,0,48,60173,384,0.6823,838.44
16,Enhanced_Zero_Shot,1,0.7688,0.6953,0.6965,107.51,0.0,0,24,41284,384,0.6953,631.86
16,Few_Shot_with_Reasoning,1,0.7704,0.6875,0.6851,124.03,0.0,0,24,47626,384,0.6875,689.71
32,Enhanced_Zero_Shot,1,0.7858,0.6901,0.6909,88.66,0.0,0,12,34045,384,0.6901,492.25
32,Few_Shot_with_Reasoning,1,0.7719,0.6693,0.6634,94.88,0.0,0,12,36432,384,0.6693,490.53
64,Enhanced_Zero_Shot,1,0.7522,0.6693,0.6722,73.72,0.0,0,6,28308,384,0.6693,366.15
64,Few_Shot_with_Reasoning,1,0.7753,0.6875,0.6853,77.58,0.0,0,6,29792,384,0.6875,378.02
