Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7025,,0.7113,0.7005,469.98,0.0,0.7005,2898.04
1,Few_Shot_with_Reasoning,0.6818,,0.773,0.6875,661.02,0.0,0.6875,3150.92
2,Enhanced_Zero_Shot,0.7187,,0.7348,0.7161,285.27,0.0,0.7161,1763.56
2,Few_Shot_with_Reasoning,0.6868,,0.7693,0.6927,350.96,0.0,0.6927,1614.5
4,Enhanced_Zero_Shot,0.7259,,0.7507,0.724,192.36,0.0,0.724,1154.81
4,Few_Shot_with_Reasoning,0.6917,,0.7667,0.6953,217.2,0.0,0.6953,1056.05
8,Enhanced_Zero_Shot,0.7024,,0.7635,0.7005,142.08,0.0,0.7005,852.17
8,Few_Shot_with_Reasoning,0.68,,0.7816,0.6823,156.7,0.0,0.6823,838.44
16,Enhanced_Zero_Shot,0.6965,,0.7688,0.6953,107.51,0.0,0.6953,631.86
16,Few_Shot_with_Reasoning,0.6851,,0.7704,0.6875,124.03,0.0,0.6875,689.71
32,Enhanced_Zero_Shot,0.6909,,0.7858,0.6901,88.66,0.0,0.6901,492.25
32,Few_Shot_with_Reasoning,0.6634,,0.7719,0.6693,94.88,0.0,0.6693,490.53
64,Enhanced_Zero_Shot,0.6722,,0.7522,0.6693,73.72,0.0,0.6693,366.15
64,Few_Shot_with_Reasoning,0.6853,,0.7753,0.6875,77.58,0.0,0.6875,378.02
