batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.9344,0.9344,0.9344,186.33,0.0,0,320,59625,320,0.9344,598.69
1,Few_Shot_with_Reasoning,1,0.9415,0.9406,0.9406,438.94,0.0,0,320,140460,320,0.9406,1794.78
2,Enhanced_Zero_Shot,1,0.9406,0.9406,0.9406,117.17,0.0,0,160,37494,320,0.9406,191.99
2,Few_Shot_with_Reasoning,1,0.9285,0.9281,0.9281,270.2,0.0,0,160,86463,320,0.9281,905.31
4,Enhanced_Zero_Shot,1,0.9313,0.9313,0.9312,85.06,0.0,0,80,27219,320,0.9313,233.1
4,Few_Shot_with_Reasoning,1,0.9253,0.925,0.925,195.08,0.0,0,80,62427,320,0.925,724.72
8,Enhanced_Zero_Shot,1,0.9352,0.9344,0.9343,69.59,0.0,0,40,22270,320,0.9344,141.85
8,Few_Shot_with_Reasoning,1,0.944,0.9438,0.9437,153.03,0.0,0,40,48969,320,0.9437,657.75
16,Enhanced_Zero_Shot,1,0.9344,0.9344,0.9344,61.72,0.0,0,20,19750,320,0.9344,150.45
16,Few_Shot_with_Reasoning,1,0.9449,0.9437,0.9437,123.32,0.0,0,20,39462,320,0.9437,586.62
32,Enhanced_Zero_Shot,1,0.9381,0.9313,0.931,52.02,0.0,0,10,16645,320,0.9313,125.18
32,Few_Shot_with_Reasoning,1,0.9501,0.95,0.95,103.8,0.0,0,10,33215,320,0.95,650.6
64,Enhanced_Zero_Shot,1,0.931,0.9281,0.928,49.25,0.0,0,5,15760,320,0.9281,122.47
64,Few_Shot_with_Reasoning,1,0.9469,0.9469,0.9469,89.89,0.0,0,5,28765,320,0.9469,376.14
