batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.747,0.7219,0.7146,185.93,0.0,0,320,59498,320,0.7219,345.82
1,Few_Shot_with_Reasoning,1,0.7816,0.6781,0.6456,451.75,0.0,0,320,144561,320,0.6781,1452.83
2,Enhanced_Zero_Shot,1,0.7112,0.6938,0.6873,116.47,0.0,0,160,37271,320,0.6937,232.64
2,Few_Shot_with_Reasoning,1,0.7705,0.7063,0.6877,259.63,0.0,0,160,83081,320,0.7063,981.55
4,Enhanced_Zero_Shot,1,0.7303,0.7031,0.6941,81.29,0.0,0,80,26012,320,0.7031,323.46
4,Few_Shot_with_Reasoning,1,0.8041,0.6969,0.6676,182.46,0.0,0,80,58387,320,0.6969,1074.65
8,Enhanced_Zero_Shot,1,0.7683,0.7094,0.6925,70.92,0.0,0,40,22694,320,0.7094,246.23
8,Few_Shot_with_Reasoning,1,0.756,0.675,0.6471,142.12,0.0,0,40,45479,320,0.675,849.81
16,Enhanced_Zero_Shot,1,0.7815,0.7094,0.6895,58.39,0.0,0,20,18685,320,0.7094,201.32
16,Few_Shot_with_Reasoning,1,0.7633,0.6781,0.6498,119.06,0.0,0,20,38100,320,0.6781,725.54
32,Enhanced_Zero_Shot,1,0.7624,0.7063,0.6897,51.71,0.0,0,10,16546,320,0.7063,218.42
32,Few_Shot_with_Reasoning,1,0.7649,0.7156,0.7018,99.99,0.0,0,10,31996,320,0.7156,589.84
64,Enhanced_Zero_Shot,1,0.7603,0.6969,0.6772,48.57,0.0,0,5,15542,320,0.6969,171.0
64,Few_Shot_with_Reasoning,1,0.7586,0.7344,0.728,99.64,0.0,0,5,31885,320,0.7344,563.85
