Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7146,,0.747,0.7219,185.93,0.0,0.7219,345.82
1,Few_Shot_with_Reasoning,0.6456,,0.7816,0.6781,451.75,0.0,0.6781,1452.83
2,Enhanced_Zero_Shot,0.6873,,0.7112,0.6938,116.47,0.0,0.6937,232.64
2,Few_Shot_with_Reasoning,0.6877,,0.7705,0.7063,259.63,0.0,0.7063,981.55
4,Enhanced_Zero_Shot,0.6941,,0.7303,0.7031,81.29,0.0,0.7031,323.46
4,Few_Shot_with_Reasoning,0.6676,,0.8041,0.6969,182.46,0.0,0.6969,1074.65
8,Enhanced_Zero_Shot,0.6925,,0.7683,0.7094,70.92,0.0,0.7094,246.23
8,Few_Shot_with_Reasoning,0.6471,,0.756,0.675,142.12,0.0,0.675,849.81
16,Enhanced_Zero_Shot,0.6895,,0.7815,0.7094,58.39,0.0,0.7094,201.32
16,Few_Shot_with_Reasoning,0.6498,,0.7633,0.6781,119.06,0.0,0.6781,725.54
32,Enhanced_Zero_Shot,0.6897,,0.7624,0.7063,51.71,0.0,0.7063,218.42
32,Few_Shot_with_Reasoning,0.7018,,0.7649,0.7156,99.99,0.0,0.7156,589.84
64,Enhanced_Zero_Shot,0.6772,,0.7603,0.6969,48.57,0.0,0.6969,171.0
64,Few_Shot_with_Reasoning,0.728,,0.7586,0.7344,99.64,0.0,0.7344,563.85
