batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8623,0.8625,0.8623,194.2,0.0,0,320,62144,320,0.8625,490.7
1,Few_Shot_with_Reasoning,1,0.8229,0.8031,0.7985,551.48,0.0,0,320,176475,320,0.8031,1694.24
2,Enhanced_Zero_Shot,1,0.8431,0.8438,0.8431,121.24,0.0,0,160,38798,320,0.8438,234.33
2,Few_Shot_with_Reasoning,1,0.8276,0.8094,0.8023,314.71,0.0,0,160,100706,320,0.8094,1044.84
4,Enhanced_Zero_Shot,1,0.8495,0.8469,0.8477,84.22,0.0,0,80,26950,320,0.8469,155.88
4,Few_Shot_with_Reasoning,1,0.8034,0.7937,0.788,219.81,0.0,0,80,70340,320,0.7937,823.14
8,Enhanced_Zero_Shot,1,0.8247,0.8188,0.8175,69.6,0.0,0,40,22273,320,0.8187,242.55
8,Few_Shot_with_Reasoning,1,0.8428,0.8313,0.8305,167.47,0.0,0,40,53590,320,0.8313,770.66
16,Enhanced_Zero_Shot,1,0.8332,0.825,0.8225,62.4,0.0,0,20,19967,320,0.825,181.07
16,Few_Shot_with_Reasoning,1,0.8308,0.8219,0.8196,134.27,0.0,0,20,42967,320,0.8219,547.33
32,Enhanced_Zero_Shot,1,0.841,0.8156,0.8155,52.26,0.0,0,10,16722,320,0.8156,120.7
32,Few_Shot_with_Reasoning,1,0.8345,0.8344,0.8327,114.74,0.0,0,10,36717,320,0.8344,551.72
64,Enhanced_Zero_Shot,1,0.8281,0.8062,0.8058,49.08,0.0,0,5,15704,320,0.8063,138.63
64,Few_Shot_with_Reasoning,1,0.8073,0.8031,0.8003,98.4,0.0,0,5,31488,320,0.8031,492.34
