Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.8623,,0.8623,0.8625,194.2,0.0,0.8625,490.7
1,Few_Shot_with_Reasoning,0.7985,,0.8229,0.8031,551.48,0.0,0.8031,1694.24
2,Enhanced_Zero_Shot,0.8431,,0.8431,0.8438,121.24,0.0,0.8438,234.33
2,Few_Shot_with_Reasoning,0.8023,,0.8276,0.8094,314.71,0.0,0.8094,1044.84
4,Enhanced_Zero_Shot,0.8477,,0.8495,0.8469,84.22,0.0,0.8469,155.88
4,Few_Shot_with_Reasoning,0.788,,0.8034,0.7937,219.81,0.0,0.7937,823.14
8,Enhanced_Zero_Shot,0.8175,,0.8247,0.8188,69.6,0.0,0.8187,242.55
8,Few_Shot_with_Reasoning,0.8305,,0.8428,0.8313,167.47,0.0,0.8313,770.66
16,Enhanced_Zero_Shot,0.8225,,0.8332,0.825,62.4,0.0,0.825,181.07
16,Few_Shot_with_Reasoning,0.8196,,0.8308,0.8219,134.27,0.0,0.8219,547.33
32,Enhanced_Zero_Shot,0.8155,,0.841,0.8156,52.26,0.0,0.8156,120.7
32,Few_Shot_with_Reasoning,0.8327,,0.8345,0.8344,114.74,0.0,0.8344,551.72
64,Enhanced_Zero_Shot,0.8058,,0.8281,0.8062,49.08,0.0,0.8063,138.63
64,Few_Shot_with_Reasoning,0.8003,,0.8073,0.8031,98.4,0.0,0.8031,492.34
