batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7977,0.7406,0.7483,198.35,0.0,0,320,63473,320,0.7406,454.31
1,Few_Shot_with_Reasoning,1,0.7756,0.7,0.7036,566.11,0.0,0,320,181154,320,0.7,1578.11
2,Enhanced_Zero_Shot,1,0.7634,0.7125,0.721,121.91,0.0,0,160,39011,320,0.7125,246.76
2,Few_Shot_with_Reasoning,1,0.8019,0.7188,0.7268,309.59,0.0,0,160,99070,320,0.7188,894.17
4,Enhanced_Zero_Shot,1,0.7709,0.7094,0.7181,84.36,0.0,0,80,26995,320,0.7094,165.88
4,Few_Shot_with_Reasoning,1,0.7702,0.6844,0.6878,212.16,0.0,0,80,67891,320,0.6844,701.66
8,Enhanced_Zero_Shot,1,0.7794,0.7125,0.7226,68.38,0.0,0,40,21881,320,0.7125,172.65
8,Few_Shot_with_Reasoning,1,0.7989,0.7031,0.7086,159.86,0.0,0,40,51155,320,0.7031,580.83
16,Enhanced_Zero_Shot,1,0.7893,0.7125,0.7185,63.74,0.0,0,20,20398,320,0.7125,198.12
16,Few_Shot_with_Reasoning,1,0.7662,0.6719,0.6787,128.57,0.0,0,20,41142,320,0.6719,496.03
32,Enhanced_Zero_Shot,1,0.8193,0.65,0.689,53.43,0.1,1,10,17099,320,0.65,122.92
32,Few_Shot_with_Reasoning,1,0.7583,0.6938,0.697,112.52,0.0,0,10,36007,320,0.6937,427.54
64,Enhanced_Zero_Shot,1,0.7772,0.6844,0.6956,49.18,0.0,0,5,15738,320,0.6844,90.62
64,Few_Shot_with_Reasoning,1,0.7617,0.6687,0.6741,93.99,0.0,0,5,30078,320,0.6687,370.88
