batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7569,0.7156,0.7273,197.71,0.0,0,320,63268,320,0.7156,352.8
1,Few_Shot_with_Reasoning,1,0.7466,0.6813,0.6884,615.79,0.0,0,320,197053,320,0.6813,1515.33
2,Enhanced_Zero_Shot,1,0.7455,0.7125,0.7236,122.91,0.0063,1,160,39331,320,0.7125,238.47
2,Few_Shot_with_Reasoning,1,0.7559,0.6937,0.6985,338.07,0.0,0,160,108181,320,0.6937,828.26
4,Enhanced_Zero_Shot,1,0.7569,0.7125,0.723,85.61,0.0,0,80,27395,320,0.7125,261.78
4,Few_Shot_with_Reasoning,1,0.7689,0.6937,0.7015,224.05,0.0,0,80,71696,320,0.6937,892.84
8,Enhanced_Zero_Shot,1,0.7767,0.7312,0.7405,67.67,0.0,0,40,21656,320,0.7312,231.32
8,Few_Shot_with_Reasoning,1,0.8056,0.7312,0.742,166.19,0.0,0,40,53180,320,0.7312,563.31
16,Enhanced_Zero_Shot,1,0.7952,0.725,0.7374,66.01,0.0,0,20,21122,320,0.725,182.16
16,Few_Shot_with_Reasoning,1,0.7657,0.6875,0.7001,130.69,0.0,0,20,41822,320,0.6875,582.97
32,Enhanced_Zero_Shot,1,0.7861,0.7094,0.7223,51.78,0.0,0,10,16569,320,0.7094,138.29
32,Few_Shot_with_Reasoning,1,0.8008,0.7063,0.717,108.19,0.0,0,10,34620,320,0.7063,579.83
64,Enhanced_Zero_Shot,1,0.7557,0.6906,0.7035,48.79,0.0,0,5,15612,320,0.6906,151.76
64,Few_Shot_with_Reasoning,1,0.7457,0.6875,0.6946,102.85,0.0,0,5,32911,320,0.6875,564.77
