Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7273,,0.7569,0.7156,197.71,0.0,0.7156,352.8
1,Few_Shot_with_Reasoning,0.6884,,0.7466,0.6813,615.79,0.0,0.6813,1515.33
2,Enhanced_Zero_Shot,0.7236,,0.7455,0.7125,122.91,0.0063,0.7125,238.47
2,Few_Shot_with_Reasoning,0.6985,,0.7559,0.6937,338.07,0.0,0.6937,828.26
4,Enhanced_Zero_Shot,0.723,,0.7569,0.7125,85.61,0.0,0.7125,261.78
4,Few_Shot_with_Reasoning,0.7015,,0.7689,0.6937,224.05,0.0,0.6937,892.84
8,Enhanced_Zero_Shot,0.7405,,0.7767,0.7312,67.67,0.0,0.7312,231.32
8,Few_Shot_with_Reasoning,0.742,,0.8056,0.7312,166.19,0.0,0.7312,563.31
16,Enhanced_Zero_Shot,0.7374,,0.7952,0.725,66.01,0.0,0.725,182.16
16,Few_Shot_with_Reasoning,0.7001,,0.7657,0.6875,130.69,0.0,0.6875,582.97
32,Enhanced_Zero_Shot,0.7223,,0.7861,0.7094,51.78,0.0,0.7094,138.29
32,Few_Shot_with_Reasoning,0.717,,0.8008,0.7063,108.19,0.0,0.7063,579.83
64,Enhanced_Zero_Shot,0.7035,,0.7557,0.6906,48.79,0.0,0.6906,151.76
64,Few_Shot_with_Reasoning,0.6946,,0.7457,0.6875,102.85,0.0,0.6875,564.77
