batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8816,0.8802,0.8803,190.71,0.0,0,384,73234,384,0.8802,620.17
1,Few_Shot_with_Reasoning,1,0.8968,0.888,0.8872,501.52,0.0,0,384,192583,384,0.888,2425.7
2,Enhanced_Zero_Shot,1,0.8872,0.8854,0.8854,119.35,0.0,0,192,45830,384,0.8854,368.49
2,Few_Shot_with_Reasoning,1,0.8797,0.8698,0.8688,290.13,0.0,0,192,111410,384,0.8698,1139.2
4,Enhanced_Zero_Shot,1,0.8939,0.8932,0.8931,83.34,0.0,0,96,32001,384,0.8932,241.14
4,Few_Shot_with_Reasoning,1,0.8967,0.8906,0.8894,202.94,0.0,0,96,77930,384,0.8906,998.87
8,Enhanced_Zero_Shot,1,0.8825,0.8802,0.8809,70.61,0.0,0,48,27116,384,0.8802,287.6
8,Few_Shot_with_Reasoning,1,0.8789,0.8672,0.8662,156.45,0.0,0,48,60075,384,0.8672,808.67
16,Enhanced_Zero_Shot,1,0.89,0.8854,0.8876,58.97,0.0,0,24,22646,384,0.8854,220.57
16,Few_Shot_with_Reasoning,1,0.8867,0.8802,0.8786,129.74,0.0,0,24,49819,384,0.8802,816.36
32,Enhanced_Zero_Shot,1,0.8543,0.8542,0.8542,52.06,0.0,0,12,19991,384,0.8542,125.53
32,Few_Shot_with_Reasoning,1,0.8605,0.849,0.8474,104.66,0.0,0,12,40191,384,0.849,490.36
64,Enhanced_Zero_Shot,1,0.8583,0.8568,0.8573,49.56,0.0,0,6,19031,384,0.8568,138.7
64,Few_Shot_with_Reasoning,1,0.8729,0.862,0.8607,91.35,0.0,0,6,35080,384,0.862,461.95
