Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.8803,,0.8816,0.8802,190.71,0.0,0.8802,620.17
1,Few_Shot_with_Reasoning,0.8872,,0.8968,0.888,501.52,0.0,0.888,2425.7
2,Enhanced_Zero_Shot,0.8854,,0.8872,0.8854,119.35,0.0,0.8854,368.49
2,Few_Shot_with_Reasoning,0.8688,,0.8797,0.8698,290.13,0.0,0.8698,1139.2
4,Enhanced_Zero_Shot,0.8931,,0.8939,0.8932,83.34,0.0,0.8932,241.14
4,Few_Shot_with_Reasoning,0.8894,,0.8967,0.8906,202.94,0.0,0.8906,998.87
8,Enhanced_Zero_Shot,0.8809,,0.8825,0.8802,70.61,0.0,0.8802,287.6
8,Few_Shot_with_Reasoning,0.8662,,0.8789,0.8672,156.45,0.0,0.8672,808.67
16,Enhanced_Zero_Shot,0.8876,,0.89,0.8854,58.97,0.0,0.8854,220.57
16,Few_Shot_with_Reasoning,0.8786,,0.8867,0.8802,129.74,0.0,0.8802,816.36
32,Enhanced_Zero_Shot,0.8542,,0.8543,0.8542,52.06,0.0,0.8542,125.53
32,Few_Shot_with_Reasoning,0.8474,,0.8605,0.849,104.66,0.0,0.849,490.36
64,Enhanced_Zero_Shot,0.8573,,0.8583,0.8568,49.56,0.0,0.8568,138.7
64,Few_Shot_with_Reasoning,0.8607,,0.8729,0.862,91.35,0.0,0.862,461.95
