batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7511,0.7031,0.704,189.57,0.0,0,384,72794,384,0.7031,433.13
1,Few_Shot_with_Reasoning,1,0.771,0.7057,0.6976,515.01,0.0,0,384,197762,384,0.7057,2177.34
2,Enhanced_Zero_Shot,1,0.7507,0.6979,0.6986,118.33,0.0,0,192,45437,384,0.6979,627.53
2,Few_Shot_with_Reasoning,1,0.7561,0.6927,0.687,290.63,0.0,0,192,111603,384,0.6927,1210.53
4,Enhanced_Zero_Shot,1,0.7506,0.6953,0.6946,83.35,0.0,0,96,32008,384,0.6953,223.15
4,Few_Shot_with_Reasoning,1,0.7672,0.6849,0.6783,202.58,0.0,0,96,77790,384,0.6849,925.28
8,Enhanced_Zero_Shot,1,0.7845,0.7031,0.7029,70.58,0.0,0,48,27103,384,0.7031,241.48
8,Few_Shot_with_Reasoning,1,0.7713,0.6849,0.6793,152.45,0.0,0,48,58541,384,0.6849,771.22
16,Enhanced_Zero_Shot,1,0.7717,0.6875,0.6854,59.87,0.0,0,24,22991,384,0.6875,185.88
16,Few_Shot_with_Reasoning,1,0.7656,0.6797,0.6748,125.95,0.0,0,24,48366,384,0.6797,694.72
32,Enhanced_Zero_Shot,1,0.7705,0.6797,0.6757,51.83,0.0,0,12,19903,384,0.6797,147.34
32,Few_Shot_with_Reasoning,1,0.7754,0.6927,0.6895,109.71,0.0,0,12,42127,384,0.6927,653.03
64,Enhanced_Zero_Shot,1,0.7454,0.6536,0.6485,48.68,0.0,0,6,18692,384,0.6536,132.5
64,Few_Shot_with_Reasoning,1,0.7271,0.6823,0.6812,89.42,0.0,0,6,34339,384,0.6823,468.62
