Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.704,,0.7511,0.7031,189.57,0.0,0.7031,433.13
1,Few_Shot_with_Reasoning,0.6976,,0.771,0.7057,515.01,0.0,0.7057,2177.34
2,Enhanced_Zero_Shot,0.6986,,0.7507,0.6979,118.33,0.0,0.6979,627.53
2,Few_Shot_with_Reasoning,0.687,,0.7561,0.6927,290.63,0.0,0.6927,1210.53
4,Enhanced_Zero_Shot,0.6946,,0.7506,0.6953,83.35,0.0,0.6953,223.15
4,Few_Shot_with_Reasoning,0.6783,,0.7672,0.6849,202.58,0.0,0.6849,925.28
8,Enhanced_Zero_Shot,0.7029,,0.7845,0.7031,70.58,0.0,0.7031,241.48
8,Few_Shot_with_Reasoning,0.6793,,0.7713,0.6849,152.45,0.0,0.6849,771.22
16,Enhanced_Zero_Shot,0.6854,,0.7717,0.6875,59.87,0.0,0.6875,185.88
16,Few_Shot_with_Reasoning,0.6748,,0.7656,0.6797,125.95,0.0,0.6797,694.72
32,Enhanced_Zero_Shot,0.6757,,0.7705,0.6797,51.83,0.0,0.6797,147.34
32,Few_Shot_with_Reasoning,0.6895,,0.7754,0.6927,109.71,0.0,0.6927,653.03
64,Enhanced_Zero_Shot,0.6485,,0.7454,0.6536,48.68,0.0,0.6536,132.5
64,Few_Shot_with_Reasoning,0.6812,,0.7271,0.6823,89.42,0.0,0.6823,468.62
