batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7387,0.6969,0.683,472.66,0.0,0,320,151251,320,0.6969,1510.68
1,Few_Shot_with_Reasoning,1,0.783,0.7031,0.6806,575.43,0.0,0,320,184138,320,0.7031,1172.98
2,Enhanced_Zero_Shot,1,0.7703,0.7125,0.6963,250.59,0.0,0,160,80190,320,0.7125,578.63
2,Few_Shot_with_Reasoning,1,0.7655,0.6719,0.6402,299.57,0.0,0,160,95861,320,0.6719,589.02
4,Enhanced_Zero_Shot,1,0.783,0.7031,0.6806,180.84,0.0,0,80,57870,320,0.7031,4578.98
4,Few_Shot_with_Reasoning,1,0.793,0.6875,0.6566,199.26,0.0,0,80,63762,320,0.6875,445.64
8,Enhanced_Zero_Shot,1,0.7599,0.6813,0.6552,132.93,0.0,0,40,42539,320,0.6813,335.15
8,Few_Shot_with_Reasoning,1,0.7834,0.6937,0.6674,145.82,0.0,0,40,46661,320,0.6937,333.71
16,Enhanced_Zero_Shot,1,0.7778,0.6937,0.6687,115.43,0.0,0,20,36939,320,0.6937,296.45
16,Few_Shot_with_Reasoning,1,0.793,0.6875,0.6566,121.42,0.0,0,20,38853,320,0.6875,283.78
32,Enhanced_Zero_Shot,1,0.7637,0.6875,0.6632,97.02,0.0,0,10,31046,320,0.6875,227.79
32,Few_Shot_with_Reasoning,1,0.8002,0.7031,0.677,107.11,0.0,0,10,34274,320,0.7031,260.55
64,Enhanced_Zero_Shot,1,0.7688,0.6875,0.6619,80.02,0.0,0,5,25606,320,0.6875,171.9
64,Few_Shot_with_Reasoning,1,0.7974,0.6813,0.6468,94.47,0.0,0,5,30232,320,0.6813,216.42
