batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8289,0.8187,0.8179,576.02,0.0,0,320,184327,320,0.8187,6016.42
1,Few_Shot_with_Reasoning,1,0.8558,0.8531,0.8513,681.81,0.0,0,320,218179,320,0.8531,4814.41
2,Enhanced_Zero_Shot,1,0.8278,0.8281,0.8269,298.48,0.0,0,160,95512,320,0.8281,2374.26
2,Few_Shot_with_Reasoning,1,0.8503,0.8438,0.8409,363.21,0.0,0,160,116226,320,0.8438,2039.56
4,Enhanced_Zero_Shot,1,0.8402,0.8406,0.8396,207.27,0.0,0,80,66327,320,0.8406,1191.0
4,Few_Shot_with_Reasoning,1,0.8493,0.8438,0.8414,243.57,0.0,0,80,77941,320,0.8438,1022.88
8,Enhanced_Zero_Shot,1,0.8431,0.8406,0.8402,152.17,0.0,0,40,48695,320,0.8406,714.86
8,Few_Shot_with_Reasoning,1,0.8559,0.85,0.8488,170.34,0.0,0,40,54508,320,0.85,796.57
16,Enhanced_Zero_Shot,1,0.862,0.8625,0.862,121.79,0.0,0,20,38972,320,0.8625,447.38
16,Few_Shot_with_Reasoning,1,0.8763,0.875,0.8731,133.1,0.0,0,20,42592,320,0.875,449.28
32,Enhanced_Zero_Shot,1,0.8633,0.8625,0.8623,99.25,0.0,0,10,31760,320,0.8625,350.99
32,Few_Shot_with_Reasoning,1,0.865,0.8625,0.862,111.58,0.0,0,10,35705,320,0.8625,353.24
64,Enhanced_Zero_Shot,1,0.8304,0.8281,0.8279,74.88,0.0,0,5,23960,320,0.8281,197.09
64,Few_Shot_with_Reasoning,1,0.8642,0.8625,0.8609,104.7,0.0,0,5,33504,320,0.8625,317.32
