batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7467,0.7031,0.7008,571.18,0.0,0,320,182778,320,0.7031,3084.34
1,Few_Shot_with_Reasoning,1,0.7643,0.7094,0.7122,674.44,0.0,0,320,215820,320,0.7094,3652.7
2,Enhanced_Zero_Shot,1,0.7577,0.7031,0.7068,284.77,0.0,0,160,91127,320,0.7031,1516.46
2,Few_Shot_with_Reasoning,1,0.7558,0.6906,0.6947,352.14,0.0,0,160,112684,320,0.6906,1352.54
4,Enhanced_Zero_Shot,1,0.7732,0.7063,0.711,194.31,0.0,0,80,62178,320,0.7063,932.69
4,Few_Shot_with_Reasoning,1,0.7649,0.7,0.7044,231.54,0.0,0,80,74094,320,0.7,979.05
8,Enhanced_Zero_Shot,1,0.7924,0.7094,0.7161,147.01,0.0,0,40,47044,320,0.7094,560.84
8,Few_Shot_with_Reasoning,1,0.7824,0.7094,0.7136,162.5,0.0,0,40,52001,320,0.7094,583.37
16,Enhanced_Zero_Shot,1,0.7699,0.6875,0.6924,115.16,0.0,0,20,36852,320,0.6875,415.65
16,Few_Shot_with_Reasoning,1,0.7599,0.6906,0.6941,127.74,0.0,0,20,40878,320,0.6906,416.46
32,Enhanced_Zero_Shot,1,0.7938,0.7,0.7015,99.38,0.0,0,10,31803,320,0.7,320.82
32,Few_Shot_with_Reasoning,1,0.8016,0.7,0.7029,110.82,0.0,0,10,35461,320,0.7,342.23
64,Enhanced_Zero_Shot,1,0.8232,0.7125,0.7188,94.17,0.0,0,5,30135,320,0.7125,280.77
64,Few_Shot_with_Reasoning,1,0.797,0.7063,0.7066,98.76,0.0,0,5,31604,320,0.7063,286.17
