Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7008,,0.7467,0.7031,571.18,0.0,0.7031,3084.34
1,Few_Shot_with_Reasoning,0.7122,,0.7643,0.7094,674.44,0.0,0.7094,3652.7
2,Enhanced_Zero_Shot,0.7068,,0.7577,0.7031,284.77,0.0,0.7031,1516.46
2,Few_Shot_with_Reasoning,0.6947,,0.7558,0.6906,352.14,0.0,0.6906,1352.54
4,Enhanced_Zero_Shot,0.711,,0.7732,0.7063,194.31,0.0,0.7063,932.69
4,Few_Shot_with_Reasoning,0.7044,,0.7649,0.7,231.54,0.0,0.7,979.05
8,Enhanced_Zero_Shot,0.7161,,0.7924,0.7094,147.01,0.0,0.7094,560.84
8,Few_Shot_with_Reasoning,0.7136,,0.7824,0.7094,162.5,0.0,0.7094,583.37
16,Enhanced_Zero_Shot,0.6924,,0.7699,0.6875,115.16,0.0,0.6875,415.65
16,Few_Shot_with_Reasoning,0.6941,,0.7599,0.6906,127.74,0.0,0.6906,416.46
32,Enhanced_Zero_Shot,0.7015,,0.7938,0.7,99.38,0.0,0.7,320.82
32,Few_Shot_with_Reasoning,0.7029,,0.8016,0.7,110.82,0.0,0.7,342.23
64,Enhanced_Zero_Shot,0.7188,,0.8232,0.7125,94.17,0.0,0.7125,280.77
64,Few_Shot_with_Reasoning,0.7066,,0.797,0.7063,98.76,0.0,0.7063,286.17
