batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.734,0.7094,0.7114,583.01,0.0,0,320,186563,320,0.7094,4190.36
1,Few_Shot_with_Reasoning,1,0.7709,0.725,0.7304,733.37,0.0,0,320,234679,320,0.725,3236.9
2,Enhanced_Zero_Shot,1,0.7564,0.7063,0.7134,289.2,0.0,0,160,92543,320,0.7063,1597.01
2,Few_Shot_with_Reasoning,1,0.7711,0.725,0.7312,374.88,0.0,0,160,119960,320,0.725,1648.74
4,Enhanced_Zero_Shot,1,0.7414,0.7,0.7088,201.5,0.0,0,80,64479,320,0.7,1295.2
4,Few_Shot_with_Reasoning,1,0.7477,0.6969,0.7055,241.54,0.0,0,80,77293,320,0.6969,1253.53
8,Enhanced_Zero_Shot,1,0.7801,0.7219,0.7344,148.14,0.0,0,40,47406,320,0.7219,675.53
8,Few_Shot_with_Reasoning,1,0.779,0.7125,0.7236,171.6,0.0,0,40,54913,320,0.7125,568.51
16,Enhanced_Zero_Shot,1,0.766,0.7125,0.7228,115.14,0.0,0,20,36846,320,0.7125,416.66
16,Few_Shot_with_Reasoning,1,0.7884,0.725,0.7335,134.02,0.0,0,20,42886,320,0.725,416.16
32,Enhanced_Zero_Shot,1,0.7893,0.7375,0.7456,99.67,0.0,0,10,31894,320,0.7375,311.6
32,Few_Shot_with_Reasoning,1,0.8002,0.725,0.7335,113.12,0.0,0,10,36198,320,0.725,428.15
64,Enhanced_Zero_Shot,1,0.795,0.7094,0.722,81.32,0.0,0,5,26022,320,0.7094,254.31
64,Few_Shot_with_Reasoning,1,0.781,0.7094,0.7203,95.35,0.0,0,5,30513,320,0.7094,298.23
