batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.8616,0.8438,0.8439,542.89,0.0,0,384,208468,384,0.8438,1821.55
1,Few_Shot_with_Reasoning,1,0.8889,0.8802,0.879,626.82,0.0,0,384,240699,384,0.8802,1557.51
2,Enhanced_Zero_Shot,1,0.8714,0.8646,0.8645,286.93,0.0,0,192,110180,384,0.8646,908.06
2,Few_Shot_with_Reasoning,1,0.8875,0.8828,0.8819,329.99,0.0,0,192,126717,384,0.8828,875.16
4,Enhanced_Zero_Shot,1,0.8825,0.8802,0.8797,203.15,0.0,0,96,78010,384,0.8802,795.7
4,Few_Shot_with_Reasoning,1,0.8859,0.8802,0.8796,224.58,0.0,0,96,86237,384,0.8802,828.77
8,Enhanced_Zero_Shot,1,0.8902,0.888,0.8877,150.46,0.0,0,48,57777,384,0.888,653.37
8,Few_Shot_with_Reasoning,1,0.8932,0.8672,0.8753,164.08,0.0208,1,48,63008,384,0.8672,598.24
16,Enhanced_Zero_Shot,1,0.9028,0.901,0.9003,116.63,0.0,0,24,44787,384,0.901,360.17
16,Few_Shot_with_Reasoning,1,0.9022,0.8958,0.8949,130.27,0.0,0,24,50025,384,0.8958,425.22
32,Enhanced_Zero_Shot,1,0.8855,0.8854,0.8852,104.95,0.0,0,12,40299,384,0.8854,356.73
32,Few_Shot_with_Reasoning,1,0.8975,0.8203,0.854,108.59,0.0833,1,12,41700,384,0.8203,377.47
64,Enhanced_Zero_Shot,1,0.8753,0.875,0.875,70.15,0.0,0,6,26936,384,0.875,185.31
64,Few_Shot_with_Reasoning,1,0.8956,0.8932,0.8926,93.77,0.0,0,6,36009,384,0.8932,311.84
