Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.8439,,0.8616,0.8438,542.89,0.0,0.8438,1821.55
1,Few_Shot_with_Reasoning,0.879,,0.8889,0.8802,626.82,0.0,0.8802,1557.51
2,Enhanced_Zero_Shot,0.8645,,0.8714,0.8646,286.93,0.0,0.8646,908.06
2,Few_Shot_with_Reasoning,0.8819,,0.8875,0.8828,329.99,0.0,0.8828,875.16
4,Enhanced_Zero_Shot,0.8797,,0.8825,0.8802,203.15,0.0,0.8802,795.7
4,Few_Shot_with_Reasoning,0.8796,,0.8859,0.8802,224.58,0.0,0.8802,828.77
8,Enhanced_Zero_Shot,0.8877,,0.8902,0.888,150.46,0.0,0.888,653.37
8,Few_Shot_with_Reasoning,0.8753,,0.8932,0.8672,164.08,0.0208,0.8672,598.24
16,Enhanced_Zero_Shot,0.9003,,0.9028,0.901,116.63,0.0,0.901,360.17
16,Few_Shot_with_Reasoning,0.8949,,0.9022,0.8958,130.27,0.0,0.8958,425.22
32,Enhanced_Zero_Shot,0.8852,,0.8855,0.8854,104.95,0.0,0.8854,356.73
32,Few_Shot_with_Reasoning,0.854,,0.8975,0.8203,108.59,0.0833,0.8203,377.47
64,Enhanced_Zero_Shot,0.875,,0.8753,0.875,70.15,0.0,0.875,185.31
64,Few_Shot_with_Reasoning,0.8926,,0.8956,0.8932,93.77,0.0,0.8932,311.84
