batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.737,0.6979,0.7002,536.0,0.0,0,384,205825,384,0.6979,3945.28
1,Few_Shot_with_Reasoning,1,0.7616,0.6797,0.6709,640.32,0.0,0,384,245884,384,0.6797,3936.9
2,Enhanced_Zero_Shot,1,0.75,0.6979,0.6969,272.03,0.0,0,192,104461,384,0.6979,1773.05
2,Few_Shot_with_Reasoning,1,0.7769,0.7031,0.6959,325.5,0.0,0,192,124993,384,0.7031,2452.36
4,Enhanced_Zero_Shot,1,0.7493,0.6901,0.6884,188.14,0.0,0,96,72246,384,0.6901,1476.21
4,Few_Shot_with_Reasoning,1,0.767,0.6927,0.6872,214.95,0.0,0,96,82541,384,0.6927,2059.5
8,Enhanced_Zero_Shot,1,0.7293,0.6771,0.6756,141.03,0.0,0,48,54156,384,0.6771,883.11
8,Few_Shot_with_Reasoning,1,0.792,0.7005,0.697,155.62,0.0,0,48,59757,384,0.7005,874.4
16,Enhanced_Zero_Shot,1,0.7662,0.7031,0.7004,112.02,0.0,0,24,43017,384,0.7031,574.57
16,Few_Shot_with_Reasoning,1,0.7542,0.6667,0.6619,124.49,0.0,0,24,47803,384,0.6667,811.84
32,Enhanced_Zero_Shot,1,0.7719,0.6927,0.6886,96.75,0.0,0,12,37152,384,0.6927,578.98
32,Few_Shot_with_Reasoning,1,0.7802,0.6901,0.6835,109.62,0.0,0,12,42093,384,0.6901,579.01
64,Enhanced_Zero_Shot,1,0.7896,0.6901,0.6822,80.42,0.0,0,6,30881,384,0.6901,339.94
64,Few_Shot_with_Reasoning,1,0.7528,0.6823,0.6761,89.89,0.0,0,6,34517,384,0.6823,409.46
