Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.7002,,0.737,0.6979,536.0,0.0,0.6979,3945.28
1,Few_Shot_with_Reasoning,0.6709,,0.7616,0.6797,640.32,0.0,0.6797,3936.9
2,Enhanced_Zero_Shot,0.6969,,0.75,0.6979,272.03,0.0,0.6979,1773.05
2,Few_Shot_with_Reasoning,0.6959,,0.7769,0.7031,325.5,0.0,0.7031,2452.36
4,Enhanced_Zero_Shot,0.6884,,0.7493,0.6901,188.14,0.0,0.6901,1476.21
4,Few_Shot_with_Reasoning,0.6872,,0.767,0.6927,214.95,0.0,0.6927,2059.5
8,Enhanced_Zero_Shot,0.6756,,0.7293,0.6771,141.03,0.0,0.6771,883.11
8,Few_Shot_with_Reasoning,0.697,,0.792,0.7005,155.62,0.0,0.7005,874.4
16,Enhanced_Zero_Shot,0.7004,,0.7662,0.7031,112.02,0.0,0.7031,574.57
16,Few_Shot_with_Reasoning,0.6619,,0.7542,0.6667,124.49,0.0,0.6667,811.84
32,Enhanced_Zero_Shot,0.6886,,0.7719,0.6927,96.75,0.0,0.6927,578.98
32,Few_Shot_with_Reasoning,0.6835,,0.7802,0.6901,109.62,0.0,0.6901,579.01
64,Enhanced_Zero_Shot,0.6822,,0.7896,0.6901,80.42,0.0,0.6901,339.94
64,Few_Shot_with_Reasoning,0.6761,,0.7528,0.6823,89.89,0.0,0.6823,409.46
