batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.9468,0.9437,0.9452,313.8,0.0031,1,320,100417,320,0.9437,2173.54
1,Few_Shot_with_Reasoning,1,0.9517,0.9469,0.9482,471.08,0.0,0,320,150746,320,0.9469,4245.58
2,Enhanced_Zero_Shot,1,0.9378,0.9375,0.9375,183.93,0.0,0,160,58857,320,0.9375,1694.57
2,Few_Shot_with_Reasoning,1,0.911,0.9,0.9043,296.9,0.0063,1,160,95007,320,0.9,5074.85
4,Enhanced_Zero_Shot,1,0.9376,0.9344,0.9358,119.29,0.0,0,80,38172,320,0.9344,1215.01
4,Few_Shot_with_Reasoning,1,0.9435,0.9281,0.9354,176.47,0.0125,1,80,56471,320,0.9281,2442.86
8,Enhanced_Zero_Shot,1,0.9372,0.9281,0.9325,87.79,0.0,0,40,28094,320,0.9281,1053.88
8,Few_Shot_with_Reasoning,1,0.934,0.9281,0.931,107.8,0.0,0,40,34495,320,0.9281,1267.84
16,Enhanced_Zero_Shot,1,0.9278,0.8812,0.9036,71.1,0.05,1,20,22753,320,0.8812,1021.51
16,Few_Shot_with_Reasoning,1,0.9333,0.8281,0.8775,79.19,0.1,2,20,25341,320,0.8281,1050.4
32,Enhanced_Zero_Shot,1,0.913,0.9094,0.9092,63.38,0.0,0,10,20282,320,0.9094,1065.5
32,Few_Shot_with_Reasoning,1,0.9451,0.9062,0.925,67.16,0.0,0,10,21491,320,0.9062,1052.7
64,Enhanced_Zero_Shot,1,0.9085,0.9062,0.9061,58.42,0.0,0,5,18696,320,0.9062,1420.25
64,Few_Shot_with_Reasoning,1,0.9147,0.7312,0.8121,61.09,0.2,1,5,19548,320,0.7312,1306.8
