Batch Size,Prompt,Avg Macro F1,Std Macro F1,Avg Precision,Avg Recall,Avg Tokens/Req,Avg Failure Rate,Avg Accuracy,Avg Time (s)
1,Enhanced_Zero_Shot,0.9452,,0.9468,0.9437,313.8,0.0031,0.9437,2173.54
1,Few_Shot_with_Reasoning,0.9482,,0.9517,0.9469,471.08,0.0,0.9469,4245.58
2,Enhanced_Zero_Shot,0.9375,,0.9378,0.9375,183.93,0.0,0.9375,1694.57
2,Few_Shot_with_Reasoning,0.9043,,0.911,0.9,296.9,0.0063,0.9,5074.85
4,Enhanced_Zero_Shot,0.9358,,0.9376,0.9344,119.29,0.0,0.9344,1215.01
4,Few_Shot_with_Reasoning,0.9354,,0.9435,0.9281,176.47,0.0125,0.9281,2442.86
8,Enhanced_Zero_Shot,0.9325,,0.9372,0.9281,87.79,0.0,0.9281,1053.88
8,Few_Shot_with_Reasoning,0.931,,0.934,0.9281,107.8,0.0,0.9281,1267.84
16,Enhanced_Zero_Shot,0.9036,,0.9278,0.8812,71.1,0.05,0.8812,1021.51
16,Few_Shot_with_Reasoning,0.8775,,0.9333,0.8281,79.19,0.1,0.8281,1050.4
32,Enhanced_Zero_Shot,0.9092,,0.913,0.9094,63.38,0.0,0.9094,1065.5
32,Few_Shot_with_Reasoning,0.925,,0.9451,0.9062,67.16,0.0,0.9062,1052.7
64,Enhanced_Zero_Shot,0.9061,,0.9085,0.9062,58.42,0.0,0.9062,1420.25
64,Few_Shot_with_Reasoning,0.8121,,0.9147,0.7312,61.09,0.2,0.7312,1306.8
