batch_size,prompt,repetition,macro_precision,macro_recall,macro_f1,tokens_per_requirement,failure_rate,failed_batches,total_batches,total_tokens,total_items,accuracy,time_seconds
1,Enhanced_Zero_Shot,1,0.7568,0.7219,0.7121,307.77,0.0,0.0,320.0,98488.0,320.0,0.7219,1702.52
1,Few_Shot_with_Reasoning,1,0.7014,0.6906,0.6864,449.67,0.0,0.0,320.0,143893.0,320.0,0.6906,2503.68
2,Enhanced_Zero_Shot,1,0.731,0.7094,0.7024,180.27,0.0,0.0,160.0,57685.0,320.0,0.7094,1249.02
2,Few_Shot_with_Reasoning,1,0.7155,0.6969,0.6902,210.77,0.0,,,,,0.6969,1872.67
4,Enhanced_Zero_Shot,1,0.7279,0.7,0.6905,107.42,0.0,,,,,0.7,1513.84
4,Few_Shot_with_Reasoning,1,0.7366,0.7188,0.7133,132.38,0.0,,,,,0.7188,1573.34
8,Enhanced_Zero_Shot,1,0.0,0.0,0.0,0.0,1.0,,,,,0.0,18.12
8,Few_Shot_with_Reasoning,1,0.7166,0.6844,0.6864,92.96,0.025,,,,,0.6844,1822.33
16,Enhanced_Zero_Shot,1,0.7349,0.7188,0.7138,66.63,0.0,,,,,0.7188,1760.45
16,Few_Shot_with_Reasoning,1,0.7133,0.7031,0.6995,76.67,0.0,0.0,20.0,24536.0,320.0,0.7031,2294.9
32,Enhanced_Zero_Shot,1,0.6617,0.6594,0.6582,60.17,0.0,0.0,10.0,19256.0,320.0,0.6594,1919.64
32,Few_Shot_with_Reasoning,1,0.689,0.6844,0.6824,63.18,0.0,,,,,0.6844,2396.65
64,Enhanced_Zero_Shot,1,0.685,0.6844,0.6841,57.33,0.0,0.0,5.0,18346.0,320.0,0.6844,2190.96
64,Few_Shot_with_Reasoning,1,0.722,0.7063,0.714,58.62,0.0,0.0,5.0,18758.0,320.0,0.7063,2073.52
